"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 11/08/2003 :
Site 73143 007 (id 3737) --> site 73143 007 (id 6584)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°007
id 3737","09/05/01
00:00","09/05/01
00:00","","2350","1900","","","","","","2","2","2","2","2","2","21-50","","","","X","","","","","X","X","X","","","","X","","","X","","","","","","",""
"Remarque : La date d'observation n'est pas celle du déclenchement.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 3737","20/04/83
00:00","20/04/83
00:00","","2100","1700","","","","","","4","3","2","2","2","2","0","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Avalanche de printemps.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 3737","24/03/77
00:00","24/03/77
00:00","","2250","1650","","","","","","2","2","5","1","5","5","1-20","X","","X","X","","X","","","X","X","X","","","","X","","","","","","X","","","",""
"n°007
id 3737","21/03/71
00:00","22/03/71
00:00","","2100","1700","","","","","","9","1","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Nuit.  Avalanche superficielle.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 3737","15/01/38
00:00","15/01/38
00:00","","2000","1600","","","","","","9","9","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 3737","03/01/36
00:00","03/01/36
00:00","","2000","1600","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 3737","08/05/32
00:00","08/05/32
00:00","","2000","1600","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 3737","03/03/01
00:00","03/03/01
00:00","","","","","","","","","9","1","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
