"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","L'observation des événements a été arrêtée sur ce site à partir de la campagne 2004-2005.
Filiations entre les sites définies lors du toilettage du 13/04/2004 :
Site 73163 001 (id 3857) --> site 73163 001 (id 7955)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°001
id 3857","21/03/88
00:00","21/03/88
00:00","","2000","1600","","","","","","1","4","5","2","5","5","er","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°001
id 3857","05/01/80
00:00","05/01/80
00:00","","1850","1350","","","","","","2","2","5","2","5","5","51-
100","","","X","X","X","X","","","","X","X","","","","X","","","X","","","","","","",""
"Remarque : Traversé route niveau inférieur. Si dégâts non apparents.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 3857","01/05/78
00:00","31/05/78
00:00","","1850","1350","","","","","","2","3","2","2","2","2","er","","","","X","er","er","er","er","er","er","X","","","","X","","","","","","X","","","",""
"Remarque : Une trentaine d'arbres résineux cassés et divers feuillus.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 3857","09/03/73
00:00","09/03/73
00:00","","1850","1700","","","","","","4","4","9","2","9","1","er","er","er","er","er","er","er","er","er","er","er","","","","","","","","er","er","er","er","er","er","",""
"Date du constat : 10/03/1973.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 3857","03/01/72
00:00","03/01/72
00:00","","1850","1700","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 3857","25/02/70
00:00","25/02/70
00:00","","1850","1650","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 3857","20/04/69
00:00","20/04/69
00:00","","1850","1650","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 3857","15/04/68
00:00","15/04/68
00:00","","1850","1650","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 3857","03/04/67
00:00","03/04/67
00:00","","1850","1650","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 3857","15/04/66
00:00","15/04/66
00:00","","1850","1600","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 3857","04/04/65
00:00","04/04/65
00:00","","1850","1650","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 3857","15/04/63
00:00","15/04/63
00:00","","1850","1650","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 3857","12/03/62
00:00","12/03/62
00:00","","1850","1600","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
