"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 13/04/2004 :
Site 73172 004 (id 3893) --> site 73172 004 (id 7970)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°004
id 3893","18/04/99
00:00","18/04/99
00:00","","1750","1500","","","","","","2","2","2","2","2","2","21-50","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 3893","10/03/99
00:00","10/03/99
00:00","","1800","1400","","","","","","4","3","5","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 3893","09/03/94
00:00","09/03/94
00:00","","1800","1500","","","","","","2","5","5","2","2","5","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 3893","20/12/93
00:00","20/12/93
00:00","","1850","1600","","","","","","2","4","2","5","5","2","51-
100","","","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 3893","21/03/88
00:00","21/03/88
00:00","","1800","1400","","","","","","1","4","5","2","5","5","er","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 3893","19/01/87
00:00","19/01/87
00:00","","2000","1700","","","","","","3","4","2","2","5","5","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 3893","06/03/83
00:00","06/03/83
00:00","","1800","1400","","","","","","1","3","9","2","2","2","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 3893","12/03/81
00:00","12/03/81
00:00","","1900","1500","","","","","","2","3","2","2","2","2","51-
100","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 3893","05/01/80
00:00","05/01/80
00:00","","1700","1500","","","","","","2","2","5","2","5","5","21-50","","","X","X","X","X","","","X","X","X","","","","X","","","X","","","","","","",""
"n°004
id 3893","22/02/78
00:00","22/02/78
00:00","","1700","1300","","","","","","2","4","2","2","2","2","0","","","X","X","","X","X","","X","","X","","","","X","","","X","","","","","","",""
"n°004
id 3893","02/03/71
00:00","02/03/71
00:00","","1800","1600","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 3893","18/03/69
00:00","18/03/69
00:00","","1700","1400","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 3893","30/03/68
00:00","30/03/68
00:00","","1800","1450","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 3893","25/02/67
00:00","25/02/67
00:00","","1600","1400","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 3893","23/03/66
00:00","23/03/66
00:00","","","","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
