"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 26/07/2003 :
Site 73197 026 (id 4027) --> site 73197 026 (id 6668)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°026
id 4027","05/03/02
00:00","06/03/02
00:00","","2900","1800","","","","","","1","5","5","5","5","5","er","","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°026
id 4027","21/03/01
00:00","22/03/01
00:00","","2650","2100","","","","","","1","5","2","5","2","2","1-20","X","er","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°026
id 4027","02/03/01
00:00","04/03/01
00:00","","2800","2250","","","","","","1","5","2","5","2","5","21-50","","","X","","X","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°026
id 4027","28/12/99
00:00","29/12/99
00:00","","2800","2100","","","","","","1","1","5","5","5","5","21-50","","","","X","X","","X","","","","X","","","","X","","","X","","","","","","",""
"n°026
id 4027","08/02/99
00:00","10/02/99
00:00","","2500","1850","","","","","","1","2","1","5","5","1",">100","","","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°026
id 4027","25/02/95
00:00","26/02/95
00:00","","3000","1580","","","","","","1","1","5","5","5","2",">100","X","er","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°026
id 4027","12/05/85
00:00","12/05/85
00:00","","2600","1590","","","","","","1","2","5","5","2","2","er","","","X","X","","","X","","X","","X","","","","X","","","X","","","","","","",""
