"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°004
id 4172","25/02/95
00:00","26/02/95
00:00","2100","1200","","","","","","2","2","2","2","2","2","51-
100","","","X","","X","","","","","X","X","","","","X","","","X","","","","","","",""
"n°004
id 4172","19/02/95
00:00","19/02/95
00:00","2000","1200","","","","","","2","2","2","2","2","2","21-50","","","X","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 4172","11/01/95
00:00","11/01/95
00:00","2000","1120","","","","","","1","2","2","5","2","2","51-
100","X","N","","","X","","","","X","","X","","","","X","","","X","","","","","","",""
"n°004
id 4172","19/12/93
00:00","20/12/93
00:00","2000","1300","","","","","","2","5","2","2","2","2","0","X","O","X","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°004
id 4172","17/04/92
00:00","17/04/92
00:00","1700","1400","","","","","","2","5","2","2","2","2","21-50","X","NO","","","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°004
id 4172","25/03/92
00:00","26/03/92
00:00","2100","1200","","","","","","4","4","2","2","2","2","21-50","X","NO","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 4172","22/12/91
00:00","22/12/91
00:00","2150","1130","","","","","","2","2","5","2","2","2",">100","X","NO","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 4172","17/02/91
00:00","17/02/91
00:00","2000","1200","","","","","","5","5","2","2","2","2","21-50","","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°004
id 4172","07/01/91
00:00","07/01/91
00:00","2100","1500","","","","","","2","5","2","2","2","2","1-20","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 4172","15/02/90
00:00","15/02/90
00:00","1900","1120","","","","","","2","2","2","2","2","2",">100","X","O","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 4172","13/02/90
00:00","14/02/90
00:00","1750","1160","","","","","","2","2","2","2","2","2",">100","X","O","","","","X","X","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Avalanche survenue entre le 13/02/90, 15h30, et le 14/02/90, 9h.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 4172","15/04/89
00:00","15/04/89
00:00","2150","","","","","","","2","5","2","2","2","2","21-50","","","","","","","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Arrivée non visible car située dans un couloir encaissé et sinueux.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 4172","04/03/89
00:00","04/03/89
00:00","1750","1200","","","","","","2","4","2","2","2","2","51-
100","","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°004
id 4172","04/04/88
00:00","04/04/88
00:00","1900","1150","","","","","","2","4","2","2","2","2","1-20","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 4172","28/03/88
00:00","28/03/88
00:00","1900","1200","","","","","","2","5","2","5","2","2","21-50","X","O","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 4172","15/02/88
00:00","15/02/88
00:00","1900","1150","","","","","","2","4","5","2","2","2","51-
100","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Bas de l'avalanche arrête à environ 100 m de la route de St (nom incertain car mal écrit) Colomban.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 4172","09/02/88
00:00","09/02/88
00:00","1700","1100","","","","","","2","4","2","2","2","2","21-50","","","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
