"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 09/05/2005 :
Site 73231 002 (id 4180) --> site 73231 002 (id 10210)
Site 73231 002_A (id 4181) --> site 73231 002 (id 10210)
Site 73231 002_B (id 4182) --> site 73231 002 (id 10210)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°002_B
id 4182","22/02/99
00:00","23/02/99
00:00","","","1200","","","","","","9","9","9","2","2","2","1-20","","","X","X","","X","X","","","","X","","","","X","","","","","","X","","","",""
"Remarque : Les perturbations ont masqué la zone de départ relevé effectué le 19 mars 99.  Dégâts : brins feuillus cassés dans le couloir emprunté.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002_A
id 4181","22/02/99
00:00","23/02/99
00:00","","","1200","","","","","","9","9","9","2","2","2","1-20","","","X","X","","X","X","","","","X","","","","X","","","","","","X","","","",""
"Remarque : Les perturbations ont masqué la zone de départ relevé effectué le 19 mars 99.  Dégâts : brins feuillus cassés dans le couloir emprunté.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 4180","11/03/81
00:00","11/03/81
00:00","","1800","1040","","","","","","4","3","2","2","2","2","er","","","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Petite avalanche.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 4180","20/01/81
00:00","20/01/81
00:00","","1950","660","","","","","","4","5","2","2","5","2",">100","","","X","X","","","","","X","","X","","","","X","","","","","","","X","","",""
"n°002
id 4180","17/02/78
00:00","17/02/78
00:00","","1900","900","","","200","20","3.0","5","3","2","2","2","2","er","","","","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Avalanche déjà descendue le 31/01/1978.  A l'arrivée de l'avalanche, l'épaisseur de neige est de 3 m, sur 20 m de large et sur une longueur de 200 m.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 4180","31/01/78
00:00","31/01/78
00:00","","1950","1000","","","","","","5","2","2","2","2","2","21-50","","","","X","X","","","","","X","X","","","","X","","","","","","X","","","",""
"Remarque : Avalanche de couloir qui descend assez souvent.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 4180","20/03/70
00:00","20/03/70
00:00","","1800","1050","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 4180","24/02/70
00:00","24/02/70
00:00","","1800","1100","","","","","","9","4","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 03/03/1970.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 4180","21/02/67
00:00","21/02/67
00:00","","1800","1100","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 4180","21/02/63
00:00","22/02/63
00:00","","1600","1050","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 4180","15/02/45
00:00","15/02/45
00:00","","1700","1200","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
