"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 09/05/2005 :
Site 73255 009 (id 4313) --> site 73255 009 (id 10229)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°009
id 4313","14/03/05
00:00","15/03/05
00:00","","1450","950","","","30","10","1.0","4","3","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 21/03/2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 4313","30/01/00
00:00","30/01/00
00:00","","1300","1000","","","","","","2","2","2","2","2","2","21-50","","","","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°009
id 4313","15/03/99
00:00","15/03/99
00:00","","1300","1000","","","","","","4","3","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Voir feuillet n°9.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 4313","26/02/99
00:00","26/02/99
00:00","","1700","950","","","","","","2","3","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°009
id 4313","19/02/95
00:00","19/02/95
00:00","","1700","1000","","","","","","2","2","2","2","2","2","21-50","","","X","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°009
id 4313","19/12/93
00:00","20/12/93
00:00","","1800","800","","","","","","2","4","2","2","2","2","0","X","O","X","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°009
id 4313","17/12/93
00:00","17/12/93
00:00","","1700","900","","","","","","2","2","2","2","2","2","51-
100","X","NO","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°009
id 4313","13/02/90
00:00","14/02/90
00:00","","1800","1000","","","","","","2","2","2","2","2","2","51-
100","X","O","","","","X","X","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Avalanche survenue entre le 13/02/90 16h et le 14/02/90 8h30.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 4313","03/02/61
00:00","03/02/61
00:00","","1750","900","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 4313","15/02/50
00:00","15/02/50
00:00","","1600","850","","","","","","9","1","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 4313","05/02/45
00:00","05/02/45
00:00","","1800","700","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 4313","10/12/40
00:00","10/12/40
00:00","","1800","700","","","","","","9","1","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 4313","29/03/34
00:00","29/03/34
00:00","","1800","700","","","","","","9","1","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
