"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 08/06/2004 :
Site 73280 001 (id 4377) --> site 73280 001 (id 8386)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°001
id 8386","02/03/15
00:00","02/03/15
00:00","","1900","1550","","","50","30","1.5","8","4","2","2","2","2","21-50","X","","X","X","","X","X","","X","X","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 03/03/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 8386","09/03/14
00:00","09/03/14
00:00","","1900","1550","","","50","30","1.5","8","4","2","2","2","2","51-
100","","","X","","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 11/03/2014.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 8386","13/04/13
00:00","15/04/13
00:00","","1800","1480","","","70","5","","8","4","2","5","2","2","0","","","X","","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 16/04/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 8386","06/03/10
00:00","06/03/10
00:00","","2000","1700","","","","","","9","3","1","5","5","9","0","X","S","","","","","?","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 06/03/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 8386","01/04/09
00:00","02/04/09
00:00","","1900","1700","X","","200","6","1.0","4","4","2","5","5","2","1-20","","","","","X","","","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 02/04/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 8386","07/03/06
00:00","10/03/06
00:00","","1550","1400","","X","150","4","2.0","4","3","2","2","2","2","21-50","X","","X","X","X","X","X","","X","","X","","","","X","","","X","","","","","","B","er"
"Date du constat : 11/03/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 8386","22/02/06
00:00","23/02/06
00:00","","1550","1440","X","","100","9","2.0","8","3","2","2","5","2","21-50","","","","X","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 24/02/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 4377","20/02/03
00:00","20/02/03
00:00","","1820","1700","","","","","","4","5","5","5","5","5","0","","er","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°001
id 4377","19/03/01
00:00","19/03/01
00:00","","1850","1700","","","","","","4","4","5","2","5","2","1-20","X","S","","","","","","","X","X","X","","","","X","","","X","","","","","","",""
"n°001
id 4377","20/12/99
00:00","20/12/99
00:00","","2000","1750","","","","","","4","4","2","2","2","2","1-20","","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°001
id 4377","11/02/99
00:00","11/02/99
00:00","","2000","1500","","","","","","1","2","1","2","1","1","21-50","X","N","","","X","","X","","X","X","X","","","","X","","","X","","","","","","",""
