"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 27/08/2003 :
Site 73285 016 (id 4401) --> site 73285 016 (id 6908)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°016
id 4401","31/01/95
00:00","31/01/95
00:00","","2300","2100","","","","","","2","2","2","1","2","2","21-50","","","","","","X","","","","","","","X","","X","","","X","","","","","","",""
"Remarque : Avalanche déclenchée par le service de sécurité de la Rosière de Montvalejau (nom incertain car mal écrit).  Liaison avec l'Italie.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°016
id 4401","14/02/90
00:00","14/02/90
00:00","","2300","2000","","","","","","2","2","2","2","2","2","51-
100","","","X","","X","","","","","","","","X","","X","","","X","","","","","","",""
"Remarque : L'avalanche n°16 a été déclenchée par les pisteurs de la Rasière de Montvalejau comme suit : le mercredi 14/2 à 14h, le 16/2 à 8h30, le 17/2 à 8h30. Il s'agit de la sécurisation du
passage France Italie.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°016
id 4401","18/02/85
00:00","18/02/85
00:00","","","","","","","","","2","2","1","1","1","1","21-50","er","er","er","er","","","","X","","","","","X","","X","","","X","","","","","","",""
"Remarque : Avalanche provoquée par le service de sécurité de la Rosière de Montvalezan sur la liaison France-Italie.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°016
id 4401","02/04/43
00:00","02/04/43
00:00","","2000","1400","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°016
id 4401","15/04/41
00:00","15/04/41
00:00","","2000","1400","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°016
id 4401","11/04/14
00:00","11/04/14
00:00","","","","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°016
id 4401","01/04/04
00:00","30/04/04
00:00","","","","","","","","","9","1","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
