"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 26/08/2003 :
Site 73291 002 (id 4439) --> site 73291 201 (id 6729)
Site 73291 004 (id 4441) --> site 73291 201 (id 6729)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°201
id 6729","24/03/17
16:00","28/03/17
10:00","","2150","1755","X","","80","60","0.5","9","5","2","2","2","2","1-20","","","X","X","?","?","?","?","?","?","X","","","","X","","","","","","","","X","B","N"
"Date du constat : 30/03/2017.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Observation faite depuis le dépôt.
Dernier couloir en montant (n°3).
Pluie-neige le 26/03.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°201
id 6729","02/04/16
13:00","02/04/16
14:00","","?","1750","X","","350","120","","9","1","9","2","2","2","0","","","X","","","","","X","","","X","","","","X","","","","","","","","X","B","N"
"Date du constat : 25/04/2016.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Précisions horaires : cf. Webcam. Observation faite depuis la Pesée. Couloir n°2 en montant la vallée.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°201
id 6729","23/03/16
13:00","23/03/16
14:30","","2240","1755","X","","250","75","1.0","8","3","2","2","2","2","0","","","X","","","","","X","","","X","","","","X","","","","","","","","X","B","N"
"Date du constat : 30/03/2016.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Précision horaire : cf. Webcam. Couloir 3 en montant la vallée (avis). Observation faite depuis les chalets de la Pesée.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°201
id 6729","28/03/15
00:00","31/03/15
00:00","","2050","1750","","","90","60","1.5","8","3","2","5","2","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","","","","","","X","B","N"
"Date du constat : 08/04/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Dernier couloir en montant. Avalanche touche le ruisseau. Observation faite depuis la Plagne (31/03) dans un 1er temps, puis dans le dépôt le 08/04.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°201
id 6729","08/04/13
00:00","16/04/13
00:00","","1950","1750","","","100","40","1.0","9","5","2","1","2","2","?
?","","","?","?","?","?","?","?
?","","?","X","","","","X","","","","","","","","X","B","N"
"Date du constat : 16/04/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Départ sous les rochers. Avalanche touche le ruisseau. Il s'agit de l'avant dernier couloir en montant. Forte chaleur depuis le 13/04/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°201
id 6729","08/04/13
00:00","16/04/13
00:00","","2050","1750","","","120","70","1.0","8","5","2","2","2","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","","","","","","X","B","N"
"Date du constat : 16/04/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Avalanche touche le ruisseau. Il s'agit du dernier couloir en montant. Forte chaleur depuis le 13/04/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°201
id 6729","02/04/12
00:00","11/05/12
00:00","","?","1750","","","100","70","3.0","9","9","9","2","2","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","","","","","","X","BS","N"
"Date du constat : 11/05/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
