"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 03/07/2003 :
Site 73296 019 (id 4491) --> site 73296 019 (id 6078)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°019
id 6078","26/03/17
00:00","27/03/17
14:45","","2470","2150","","","100","250","1.5","4","2","2","1","2","2","21-50","X","E","","","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 27/03/2017.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 6078","13/02/17
10:00","13/02/17
10:45","","2460","2100","","","100","50","6.0","8","2","1","1","2","1","0","X","E","X","","","","X","X","","","","X","","","","","X","X","","","","","","B","O"
"Date du constat : 13/02/2017.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Avalanche qui s'est déclenchée à 10h35 le 13/02/2017, emportant 4 skieurs. Accumulation due au vent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 6078","04/04/16
14:00","05/04/16
15:50","","2390","2120","","","50","100","1.5","4","5","9","1","2","2","0","X","SE","X","X","","X","X","","X","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 05/04/2016.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Avalanche qui s'est déclenchée le 05/04/2016 à 15h00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 6078","07/01/16
00:00","09/01/16
11:00","","?","2100","","","","","","9","9","9","1","2","2","21-50","X","NO","","","","X","","","","","","","","X","X","","","X","","","","","","I","N"
"Date du constat : 09/01/2016.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 6078","17/04/15
00:00","17/04/15
00:00","","2270","2150","","","50","80","1.5","8","5","2","1","2","2","0","","","X","","","X","","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 20/04/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : elle est partie entre 13h20 et 13h30 (service des pistes Tignes)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 6078","17/12/14
00:00","20/12/14
00:00","","2470","2190","","","30","30","0.5","4","5","2","1","2","2","1-20","","","?","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 22/12/2014.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : L'avalanche est vraiment petite, cela est une avalanche de versant, car pas de couloir, mais attention une infime partie du versant est parti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 6078","27/04/13
00:00","29/04/13
00:00","","2330","2110","","","100","200","1.0","8","4","2","1","2","2","0","","","X","X","","X","","","X","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 29/04/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 6078","17/04/13
00:00","20/04/13
00:00","","2450","2070","","","50","30","2.5","4","3","2","1","2","2","0","","","X","","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 22/04/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
