"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"Date du constat : 04/04/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 6060","22/03/06
00:00","23/03/06
00:00","?","1680","","","140","50","1.0","9","9","9","2","2","2","1-20","","","","X","?","?","?","?","?","?","","","","X","X","","","X","","","","","","BS","N"
"Date du constat : 24/03/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 6060","09/03/06
00:00","09/03/06
00:00","2270","1580","","","180","80","2.0","8","2","9","2","2","1","21-50","X","O","","","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 09/03/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 6060","05/03/06
00:00","05/03/06
00:00","2340","1557","X","","400","180","2.0","8","2","1","2","5","1",">100","X","O","","","X","","","","","","X","","","","X","","","","","","X","X","X","B","O"
"Date du constat : 06/03/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : La D87E a été coupée (1,5m d'épaisseur 100m de large) par l'avalanche coulante. L'aérosol est remonté jusque sur la D902 (chalets de la Cité EDF 'platrés').","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 6060","23/01/06
00:00","24/01/06
00:00","2160","1610","","","240","20","1.0","8","4","9","2","2","9","0","X","NO","","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 24/01/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 6060","13/03/05
00:00","14/03/05
00:00","2200","1680","","","150","30","0.5","8","3","2","2","2","2","0","X","NO","","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 14/03/2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 6060","22/01/05
00:00","23/01/05
00:00","2300","1610","","","200","40","1.0","8","2","1","2","9","1","51-
100","X","NO","","","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 28/01/2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 6060","17/03/04
00:00","18/03/04
00:00","2320","1580","","","250","40","1.0","8","4","9","2","2","2","0","","er","","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 19/03/2004.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 6060","13/01/04
00:00","13/01/04
00:00","2140","1550","X","X","","","","4","5","2","2","2","2","51-
100","","er","","X","","X","","","","","X","","","","X","","","X","","","","","","er","er"
"Remarque : CLPA N°110.  Emprise de l'avalanche étroite.  Ruisseau du Bois de l'Ours visible par endroit.  Interception de la retenue EDF des Brévières.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 4476","07/03/03
00:00","07/03/03
00:00","2150","1640","","","150","40","1.0","2","5","2","2","2","2","1-20","","er","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : CLPA N° 110. Remarque dépôt:Chute de neige : Deux à trois cm de neige le 06/03.  Très beau temps les jours précédents et le 07/03.  Dépôt : 150 m de long * 40 m de l et 1 m
d'épaisseur.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 4476","14/01/03
00:00","16/01/03
00:00","2300","1600","","","80","40","1.5","2","4","2","2","2","2","0","","er","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Dernières chutes de neige le 05/01.  Temps froid jusqu'au 13/01 puis remontée brutale des températures le 14/01. Remarque dépôt:Dépôt : 80 m * 40 m * 1,50 m.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 4476","14/03/01
00:00","15/03/01
00:00","2400","1600","","","","","","4","4","5","2","2","2","1-20","","","X","X","","","","X","","X","","","","","X","","","X","","","","","","",""
