"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 11/04/2005 :
Site 73303 012 (id 4513) --> site 73303 012 (id 10278)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°012
id 10278","11/02/15
00:00","11/02/15
00:00","","1800","900","","","200","20","","4","4","2","2","2","2","0","","","X","","","","X","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 11/02/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 10278","20/01/13
00:00","20/01/13
00:00","","1800","850","","","150","15","","4","4","2","2","2","2","21-50","","","X","","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 20/01/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 10278","24/12/12
00:00","25/12/12
00:00","","1800","800","","","150","20","","4","4","2","2","2","2","21-50","","","X","","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 25/12/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 10278","22/12/12
00:00","22/12/12
00:00","","1800","800","","","150","20","","4","4","2","2","2","2","21-50","?","","X","","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 22/12/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 10278","14/12/12
00:00","15/12/12
00:00","","1800","900","","","200","20","","4","4","2","2","2","2","0","","","X","X","","X","","","X","X","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 15/12/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 10278","25/04/12
00:00","25/04/12
00:00","","1800","1000","","","200","10","1.0","4","4","2","2","2","2","21-50","?","","?","X","?","?","?","X","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 25/04/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 10278","21/02/12
00:00","21/02/12
00:00","","1800","850","","","200","20","1.0","4","4","2","2","2","2","0","","","X","","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 21/02/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 10278","22/01/12
00:00","22/01/12
00:00","","1800","1050","","","200","20","1.0","4","2","2","2","2","2","21-50","?","","?","X","?","X","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 22/01/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 10278","01/01/12
00:00","08/01/12
00:00","","1800","900","","","200","20","4.0","4","2","2","2","2","2","51-
100","?","","?","X","?","X","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 09/01/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 10278","30/03/06
00:00","30/03/06
00:00","","1800","850","","","150","20","1.0","4","4","2","2","2","2","21-50","?","","?","?","","X","","","","","X","","","","X","","","X","","","","","","B","N"
