"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°028
id 4610","23/03/84
00:00","23/03/84
00:00","1870","1660","","","","","","2","4","2","1","2","2","1-20","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : A suivi le même trajet que celle précédemment.  Envoyée sous le N° d'ordre 45.  N'a pas atteint le périmètre.  (CLPA 52).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°028
id 4610","16/03/84
00:00","17/03/84
00:00","1850","1650","","","","","","3","4","5","1","2","5","0","X","SE","","X","","","X","","","","X","","","","X","","","X","","","","","","",""
"Remarque : CLPA n°52. N'a pas atteint le périmètre.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°028
id 4610","07/04/83
00:00","07/04/83
00:00","1850","1700","","","","","","2","4","2","1","2","2","21-50","","","X","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : N'a pas atteint le périmètre.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°027_bi
s
id 4609","17/03/83
00:00","17/03/83
00:00","1830","1640","","","","","","2","4","2","1","2","2","1-20","","","","X","","","","","","X","X","","","","X","","","X","","","","","","",""
"n°028
id 4610","03/04/82
00:00","04/04/82
00:00","1900","1700","","","","","","2","4","2","1","2","2","0","X","NE","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : N°52 du périmètre.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°028
id 4610","08/02/82
00:00","08/02/82
00:00","1900","1640","","","","","","2","4","2","1","2","2","0","er","er","er","er","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Avalanche 51 du périmètre d'observation permanente.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°028
id 4610","08/03/81
00:00","10/03/81
00:00","1900","1640","","","","","","2","4","2","1","2","2","1-20","","","","X","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°028
id 4610","07/03/81
00:00","08/03/81
00:00","1900","1700","","","","","","2","4","2","1","2","2","1-20","","","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°028
id 4610","10/02/81
00:00","13/02/81
00:00","2000","1760","","","","","","3","4","5","1","2","5","1-20","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°028
id 4610","02/04/80
00:00","02/04/80
00:00","2000","1640","","","","","","2","4","2","1","2","2","er","","","X","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°028
id 4610","29/03/80
00:00","29/03/80
00:00","2000","1640","","","","","","2","4","2","1","2","2","1-20","","","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°028
id 4610","19/01/80
00:00","19/01/80
00:00","1920","1640","","","","","","2","4","5","1","2","5","1-20","X","er","","","","","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Hors périmètre.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°028
id 4610","11/04/79
00:00","11/04/79
00:00","1850","1700","","","","","","2","3","5","1","2","5","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : N°52 du périmètre partie Nord.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°028
id 4610","14/02/79
00:00","14/02/79
00:00","1900","1700","","","","","","2","4","5","1","2","2","1-20","er","er","er","er","","","","X","","","X","","","","X","","","X","","","","","","",""
