"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°001
id 4720","07/03/01
00:00","07/03/01
00:00","2200","1400","","","","","","2","5","2","2","2","2","1-20","X","NE","X","X","","","","","X","X","X","","","","X","","","X","","","","","","",""
"n°001
id 4720","01/03/00
00:00","02/03/00
00:00","2000","1200","","","","","","2","2","5","2","2","5","51-
100","X","NE","","","X","","X","","","","X","","","","X","","","X","","","","","","",""
"n°001
id 4720","08/02/00
00:00","09/02/00
00:00","2200","1550","","","","","","2","5","2","2","2","2","1-20","X","er","X","X","","X","","","X","X","X","","","","X","","","X","","","","","","",""
"n°001
id 4720","21/02/99
00:00","22/02/99
00:00","2100","1050","","","","","","2","5","2","2","2","2","51-
100","X","er","X","X","","X","","","X","X","X","","","","X","","","X","","","","","","",""
"n°001
id 4720","09/02/99
00:00","10/02/99
00:00","2100","1400","","","","","","5","5","5","2","5","5",">100","","","","","","","","","X","X","X","","","","X","","","X","","","","","","",""
"n°001
id 4720","28/01/99
00:00","29/01/99
00:00","2100","1150","","","","","","1","2","5","2","5","5","51-
100","X","er","","","X","","X","","","","X","","","","X","","","X","","","","","","",""
"n°001
id 4720","16/02/97
00:00","16/02/97
00:00","1900","1450","","","","","","2","5","2","2","2","2","21-50","X","SE","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°001
id 4720","30/11/96
00:00","30/11/96
00:00","1700","1050","","","","","","2","2","2","2","2","2","51-
100","X","SE","","","","X","","","X","X","X","","","","X","","","X","","","","","","",""
"n°001
id 4720","23/01/95
00:00","24/01/95
00:00","2000","1200","","","","","","2","5","2","2","2","2","21-50","X","NE","X","","","X","X","","X","X","X","","","","X","","","X","","","","","","",""
"n°001
id 4720","25/01/94
00:00","26/01/94
00:00","2200","1250","","","","","","2","4","2","2","2","2","1-20","X","SE","X","","X","","X","","X","X","X","","","","X","","","X","","","","","","",""
"n°001
id 4720","01/01/94
00:00","02/01/94
00:00","2200","1200","","","","","","2","2","2","2","2","2","21-50","X","SE","X","X","X","","","","X","X","X","","","","X","","","X","","","","","","",""
"n°001
id 4720","19/11/92
00:00","20/11/92
00:00","2200","1600","","","","","","2","5","2","2","2","2","51-
100","","","X","X","","X","","","X","X","X","","","","X","","","X","","","","","","",""
"n°001
id 4720","31/12/90
00:00","31/12/90
00:00","2000","1200","","","","","","2","2","2","2","2","2","er","","","X","X","","X","","","X","X","X","","","","X","","","X","","","","","","",""
"n°001
id 4720","01/03/90
00:00","02/03/90
00:00","2100","1050","","","","","","2","2","2","2","2","2","21-50","X","E","X","X","","","","","X","X","X","","","","X","","","X","","","","","","",""
"n°001
id 4720","16/02/90
00:00","17/02/90
00:00","2000","1050","","","","","","2","4","2","2","2","2",">100","X","E","X","","","X","","","X","X","X","","","","X","","","X","","","","","","",""
"n°001
id 4720","25/03/88
00:00","25/03/88
00:00","1900","1050","","","","","","2","4","2","2","2","2","51-
100","","","X","X","X","","","","X","X","X","","","","X","","","X","","","","","","",""
"n°001
id 4720","08/02/88
00:00","08/02/88
00:00","2000","1050","","","","","","5","5","5","2","5","5","51-
100","X","SE","","","X","","","","","X","X","","","","X","","","X","","","","","","",""
"n°001
id 4720","02/03/87
00:00","03/03/87
00:00","2000","1150","","","","","","2","5","2","2","2","2","er","","","X","X","","X","","","X","X","X","","","","X","","","X","","","","","","",""
