"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","L'observation des événements a été arrêtée sur ce site à partir de la campagne 2003-2004.
Filiations entre les sites définies lors du toilettage du 25/08/2003 :
Site 73323 013 (id 4732) --> site 73323 013 (id 6555)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°013
id 6555","12/01/04
00:00","13/01/04
00:00","","2100","1250","X","X","30","20","3.0","2","5","2","2","2","2","1-20","X","NE","X","X","","X","","","X","X","X","","","","X","","","X","","","","","","er","er"
"Remarque : CLPA N°14.  Volume du dépôt : 30 m * 20 m * 3 m.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°013
id 4732","02/01/03
00:00","02/01/03
00:00","","1900","1250","","","40","15","2.5","2","5","2","2","2","2","1-20","X","NE","X","X","","X","","","X","X","X","","","","X","","","X","","","","","","",""
"Remarque : CLPA N°14. Remarque dépôt:Volume du dépôt : 40 m * 15 m * 2,5 m.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°013
id 4732","27/02/02
00:00","28/02/02
00:00","","2000","1250","","","","","","2","2","2","2","2","2","21-50","","","X","","","X","","","X","X","X","","","","X","","","X","","","","","","",""
"n°013
id 4732","07/03/01
00:00","07/03/01
00:00","","2100","1250","","","","","","2","5","2","2","2","2","1-20","X","NE","X","X","","","","","X","X","X","","","","X","","","X","","","","","","",""
"n°013
id 4732","25/12/99
00:00","26/12/99
00:00","","2100","1250","","","","","","2","5","5","2","2","5","0","","","X","X","","X","","","X","X","X","","","","X","","","X","","","","","","",""
"n°013
id 4732","22/02/99
00:00","22/02/99
00:00","","2000","1250","","","","","","2","5","2","2","2","2","51-
100","X","er","X","","X","","X","","","X","X","","","","X","","","X","","","","","","",""
"n°013
id 4732","23/01/95
00:00","24/01/95
00:00","","2000","1250","","","","","","2","5","2","2","2","2","21-50","X","NE","X","","","X","X","","X","X","X","","","","X","","","X","","","","","","",""
"n°013
id 4732","30/12/94
00:00","31/12/94
00:00","","1900","1250","","","","","","2","5","2","2","2","2","er","X","SE","X","X","","X","X","","X","X","X","","","","X","","","X","","","","","","",""
"n°013
id 4732","11/12/93
00:00","12/12/93
00:00","","2000","1250","","","","","","5","5","5","2","2","5","51-
100","X","SE","X","","X","","","","X","X","X","","","","X","","","X","","","","","","",""
"n°013
id 4732","06/04/93
00:00","07/04/93
00:00","","2100","1250","","","","","","2","5","2","2","2","2","21-50","","","X","X","","X","","","X","X","X","","","","X","","","X","","","","","","",""
"n°013
id 4732","19/11/92
00:00","20/11/92
00:00","","1800","1250","","","","","","2","5","2","2","2","2","51-
100","","","X","X","","X","","","X","X","X","","","","X","","","X","","","","","","",""
"n°013
id 4732","25/10/92
00:00","26/10/92
00:00","","2000","1250","","","","","","2","4","2","2","2","2","51-
100","","","X","X","","X","","","X","X","X","","","","X","","","X","","","","","","",""
"n°013
id 4732","10/02/91
00:00","10/02/91
00:00","","2000","1250","","","","","","4","2","1","2","1","1","51-
100","X","E","","","X","","X","","","","X","","","","X","","","X","","","","","","",""
"n°013
id 4732","07/01/91
00:00","08/01/91
00:00","","2100","1250","","","","","","2","2","2","2","2","2","21-50","","","X","X","","X","","","X","X","X","","","","X","","","X","","","","","","",""
