"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 05/04/2006 :
Site 74001 005 (id 4743) --> site 74001 005 (id 11768)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°005
id 4743","15/02/95
00:00","15/02/95
00:00","","1650","","","","","","","2","4","2","2","2","2","1-20","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°005
id 4743","01/02/95
00:00","16/02/95
00:00","","","1250","","","","","","9","9","9","2","9","9","er","er","er","er","er","er","er","er","er","er","er","","","","","X","","","","","","X","","","",""
"Remarque : Observation effectuée sur le terrain le 16/02/95.  J'ai constaté que l'avalanche (date inconnue) est descendue dans le couloir en poudreuse, en arrachant sur son passage de
nombreux perchis d'épicéas, localisés dans le couloir jusqu'au chemin de la Raille.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 4743","01/09/86
00:00","25/02/87
00:00","","","1290","","","","","","9","9","9","2","9","9","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Constaté le point bas de l'avalanche le 25/02/87.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 4743","05/03/86
00:00","06/03/86
00:00","","1600","1350","","","","","","2","4","2","2","2","2","1-20","","","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°005
id 4743","06/03/84
00:00","07/03/84
00:00","","1600","1350","","","","","","3","4","5","2","2","5","51-
100","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°005
id 4743","30/12/81
00:00","31/12/81
00:00","","1600","1350","","","","","","2","4","2","2","2","2","1-20","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°005
id 4743","24/01/81
00:00","25/01/81
00:00","","1550","1350","","","","","","3","4","5","1","5","5","0","er","er","er","er","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°005
id 4743","14/04/71
00:00","14/04/71
00:00","","1450","1200","","","","","","4","1","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 14/04/1972.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 4743","17/04/70
00:00","17/04/70
00:00","","1850","1150","","","","","","1","4","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 17/04/1970.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 4743","24/03/70
00:00","24/03/70
00:00","","1850","1300","","","","","","1","1","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 24/03/1970.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 4743","09/01/70
00:00","09/01/70
00:00","","1800","1200","","","","","","1","1","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 09/01/1970.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
