"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°001
id 4739","01/04/84
00:00","01/04/84
00:00","","1100","","","","","","2","9","2","2","2","2","1-20","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°001
id 4739","20/02/84
00:00","21/02/84
00:00","1650","1250","","","","","","4","2","1","2","1","1","21-50","","","","","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°001
id 4739","09/02/84
00:00","10/02/84
00:00","1650","1150","","","","","","2","4","5","2","2","5","51-
100","X","NO","","","","","X","","X","","X","","","","X","","","X","","","","","","",""
"n°001
id 4739","13/04/83
00:00","14/04/83
00:00","1650","1350","","","","","","2","4","2","2","2","2","21-50","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°001
id 4739","07/04/83
00:00","08/04/83
00:00","1500","1150","","","","","","2","4","2","2","2","2","21-50","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°001
id 4739","06/04/83
00:00","07/04/83
00:00","1630","1080","","","","","","2","4","2","2","2","2","21-50","","","","X","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°001
id 4739","17/03/83
00:00","18/03/83
00:00","1650","1200","","","","","","2","4","2","2","2","2","1-20","","","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°001
id 4739","26/01/83
00:00","27/01/83
00:00","1600","1200","","","","","","2","2","2","2","2","2","0","","","X","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°001
id 4739","03/04/82
00:00","04/04/82
00:00","1550","1150","","","","","","2","4","2","2","2","2","0","","","X","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°001
id 4739","23/03/82
00:00","23/03/82
00:00","1620","1100","","","","","","2","4","2","5","2","2","1-20","","","","X","X","","","","","X","X","","","","X","","","X","","","","","","",""
"n°001
id 4739","17/03/82
00:00","17/03/82
00:00","1640","1050","","","","","","2","4","2","5","2","2","1-20","X","O","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°001
id 4739","09/01/82
00:00","11/01/82
00:00","1620","1150","","","","","","2","4","2","2","2","2","1-20","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°001
id 4739","30/12/81
00:00","31/12/81
00:00","1650","1100","","","","","","2","2","2","2","2","2","1-20","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°001
id 4739","16/12/81
00:00","17/12/81
00:00","1600","1100","","","","","","2","2","2","2","2","2","51-
100","X","NO","","X","X","","X","","","","X","","","","X","","","X","","","","","","",""
"n°001
id 4739","23/03/81
00:00","24/03/81
00:00","1650","1100","","","","","","2","4","2","5","2","2","0","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°001
id 4739","10/03/81
00:00","10/03/81
00:00","1650","1080","","","","","","2","4","2","2","2","2","0","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°001
id 4739","07/03/81
00:00","08/03/81
00:00","1650","1100","","","","","","4","2","2","2","2","2","1-20","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°001
id 4739","24/01/81
00:00","25/01/81
00:00","1650","1200","","","","","","3","4","1","2","1","1","0","er","er","er","er","","","","X","","","X","","","","X","","","X","","","","","","",""
