"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"Remarque : Obstruction de la route Les Carroz-Flaine 1 heure.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 4760","06/02/83
00:00","06/02/83
00:00","1900","1600","","","","","","5","2","2","2","5","5","51-
100","er","er","er","er","X","","","","","","","","X","","X","","","","","","","X","","",""
"Remarque : Obstruction route Carroz-Flaine 1 heure.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 4760","04/02/83
00:00","04/02/83
00:00","1900","1600","","","","","","4","2","1","2","5","1","21-50","er","er","er","er","X","","","","","","","","X","","X","","","","","","X","","","",""
"Remarque : Obstruction départementale Les Carroz-Flaine (1 heure).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 4760","16/01/83
00:00","16/01/83
00:00","1950","1600","","","","","","4","4","2","2","2","2","51-
100","er","er","er","er","","X","","","X","","","","X","","X","","","","","","X","","","",""
"Remarque : Les arbres de bordure du couloir ont été emporté au passage environ 10 m3. Obstruction de la route de Flaine pendant 2 heures.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 4760","13/03/82
00:00","13/03/82
00:00","1900","1600","","","","","","5","2","5","2","2","5","51-
100","X","N","","","X","","","","","","","","X","","X","","","","","","","X","","",""
"Remarque : Obstruction route Arâches-Flaine 1 h 30.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 4760","06/01/82
00:00","06/01/82
00:00","1950","1600","","","","","","5","5","5","2","2","2","21-50","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°001
id 4760","20/01/81
00:00","20/01/81
00:00","1950","1600","","","","","","5","5","5","2","2","5","51-
100","","","","X","X","","","","","","X","","","","X","","","","","","","X","","",""
"Remarque : Obstruction de la route 4 h.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 4760","19/01/81
00:00","19/01/81
00:00","1950","1600","","","","","","5","5","2","2","2","5","51-
100","","","","X","X","","","","","","","","X","","X","","","","","","","X","","",""
"Remarque : Obstruction route Les Carroz-Flaine 1 h 45.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 4760","15/01/81
00:00","15/01/81
00:00","1900","1600","","","","","","1","4","2","2","5","5","51-
100","er","er","er","er","X","","","","","","X","","","","X","","","","","","","X","","",""
"Remarque : Route Les Carroz-Flaine coupée pendant 2 heures.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 4760","22/12/80
00:00","22/12/80
00:00","2000","1700","","","","","","5","1","2","2","5","5","21-50","X","er","","","","","","X","","","","","X","","X","","","","","","","X","","",""
"Remarque : Obstruction de la route Arâches-Flaine (1 h).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 4760","11/04/79
00:00","11/04/79
00:00","2000","1800","","","","","","9","9","9","9","9","9","0","","","X","X","X","","","","","","","","X","","X","","","X","","","","","","",""
"Remarque : Route Les Carroz-Flaine obstruée 3 h.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 4760","10/04/79
00:00","10/04/79
00:00","2000","1800","","","","","","9","9","9","9","9","9","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Route Les Carroz-Flaine obstruée 2 heures.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 4760","01/02/78
00:00","28/02/78
00:00","1900","1650","","","","8","2.5","4","2","1","2","1","1",">100","X","er","","","X","","X","","","","X","","","","X","","","","","","","X","","",""
