"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°004
id 4826","27/12/81
00:00","28/12/81
00:00","1450","1150","","","","","","2","4","2","2","2","2","21-50","","","","X","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 4826","19/12/81
00:00","19/12/81
00:00","1500","1050","","","","","","2","4","5","2","5","5","51-
100","","","X","X","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 4826","17/12/81
00:00","17/12/81
00:00","1450","1150","","","","","","2","4","2","2","2","2","1-20","X","O","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°004
id 4826","11/12/81
00:00","11/12/81
00:00","1500","1100","","","","","","2","4","2","2","2","2","1-20","X","SO","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 4826","08/12/81
00:00","08/12/81
00:00","1500","1150","","","","","","2","4","2","2","2","2","1-20","","","X","X","X","X","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 4826","05/03/81
00:00","05/03/81
00:00","1520","1300","","","","","","2","4","2","2","2","2","1-20","","","X","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 4826","08/02/81
00:00","08/02/81
00:00","1600","1250","","","","","","2","4","2","2","2","2","21-50","","","X","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 4826","24/01/81
00:00","25/01/81
00:00","1320","1080","","","","","","2","4","5","2","2","5","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 4826","23/01/81
00:00","23/01/81
00:00","1570","1300","","","","","","2","4","2","2","2","5","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 4826","22/01/81
00:00","22/01/81
00:00","1550","1300","","","","","","2","4","2","2","2","5","1-20","X","NO","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 4826","19/01/81
00:00","19/01/81
00:00","1350","1080","","","","","","1","4","5","2","2","5","21-50","X","NO","","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 4826","11/01/81
00:00","12/01/81
00:00","1500","1300","","","","","","2","4","2","2","2","2","1-20","","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°004
id 4826","08/01/81
00:00","08/01/81
00:00","1450","1200","","","","","","2","4","2","2","2","2","1-20","X","SO","","","","","X","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 4826","23/12/80
00:00","23/12/80
00:00","1500","1350","","","","","","2","4","5","2","2","2","21-50","","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°004
id 4826","13/12/80
00:00","14/12/80
00:00","1500","1100","","","","","","2","4","2","2","2","2","0","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 4826","10/12/80
00:00","10/12/80
00:00","1500","1150","","","","","","1","4","5","2","2","5","0","er","er","er","er","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 4826","27/03/80
00:00","27/03/80
00:00","1500","1100","","","","","","2","4","2","2","2","2","0","","","X","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°004
id 4826","24/03/80
00:00","24/03/80
00:00","1500","1150","","","","","","2","4","5","2","2","2","21-50","","","","X","","","","","X","X","X","","","","X","","","X","","","","","","",""
