"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"Remarque : Arrivée sur piste de ski balisée (de retour à la station), fermée depuis plusieurs jours par le service des pistes du Brévent (nom incertain car mal écrit).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°089_C
LPA
id 4983","16/02/95
00:00","16/02/95
00:00","1700","1200","","","","","","4
5","","2","2","2","5","0","X","S","X","X","","X","X","X","","X","X","","","","X","","","","","","X","X","X","",""
"Remarque : 3ème signalisation de cette avalanche pour la saison d'hiver 1994-1995.  Site Fai?? (nom illisible car mal écrit) du domaine skiable, Brévent Playmoz Charlanou (nom incertain car
mal écrit), pour le retour des skieurs à la station de Chamonix.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°028
id 4889","16/02/95
00:00","16/02/95
00:00","1700","1200","","","","","","4","5","2","2","2","5","0","X","S","X","X","","X","X","","X","X","X","","","","X","","","","","","X","X","X","",""
"n°089_C
LPA
id 4983","26/01/95
00:00","26/01/95
00:00","1990","1100","","","","","","2","4","2","5","2","5","1-20","","","X","X","","X","","","X","X","X","","","","X","","","","","","X","X","","",""
"Remarque : C'est la deuxième signalisation de ce site en moins de 48 heures.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°028
id 4889","26/01/95
00:00","26/01/95
00:00","1990","1100","","","","","","2","4","2","5","2","5","1-20","","","X","X","","X","","","X","X","X","","","","X","","","","","","X","X","","",""
"n°028
id 4889","24/01/95
00:00","24/01/95
00:00","1800","1250","","","","","","5","5","2","2","2","2","1-20","X","S","X","X","X","","","","X","X","","","X","","X","","","X","","","","","","",""
"n°089_C
LPA
id 4983","24/01/95
00:00","24/01/95
00:00","1800","1250","","","","","","5","5","2","2","2","2","1-20","X","S","X","X","X","","","","X","X","","","X","","X","","","X","","","","","","",""
"Remarque : Déclenchement à l'explosif par le service des pistes du Brévent.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°028
id 4889","20/04/94
00:00","20/04/94
00:00","1800","1200","","","","","","4","2","2","1","2","2","21-50","","","X","X","","X","","","X","X","X","","","","X","","","X","","","","","","",""
"Remarque : Cette avalanche concerne les 4 branches (4 couloirs) qui convergent dans le Grand-Couloir des Nants.  La partie supérieure (domaine skiable Praz-des-Violles-Charlanon (nom
incertain car mal écrit)) ne peut être observée à cause du brouillard.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°028
id 4889","20/12/93
00:00","20/12/93
00:00","1750","1300","","","","","","4","1","2","2","2","2","0","X","S","X","X","","X","X","","X","X","X","","","","X","","","X","","","","","","",""
"n°028
id 4889","27/10/92
00:00","27/10/92
00:00","1990","1250","","","","","","2","2","2","2","2","2","21-50","","","","","X","X","","","X","X","X","","","","X","","","X","","","","","","",""
"n°028
id 4889","15/02/90
00:00","15/02/90
00:00","1900","1250","","","","","","4","2","5","2","5","5",">100","X","NO","","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°028
id 4889","21/04/86
00:00","21/04/86
00:00","1750","1250","","","","","","2","4","2","2","2","2","51-
100","","","X","","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°089_C
LPA
id 4983","07/03/84
00:00","07/03/84
00:00","1750","1300","","","","","","4","4","5","2","2","5","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°028
id 4889","06/01/82
00:00","06/01/82
00:00","1700","1100","","","","","","4","4","5","2","5","5","51-
100","","","X","X","X","","","","","","X","","","","X","","","X","","","","","","",""
