"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 19/08/2004 :
Site 74056 095_CLPA (id 4989) --> site 74056 002 (id 8926)
Site 74056 002 (id 4847) --> site 74056 002 (id 8926)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°002
id 8926","24/03/17
10:00","27/03/17
16:00","","2100","Z 1770","","","50","10","1.0","4","1","9","2","2","2","1-20","X","SO","","","?","","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 27/03/2017.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 8926","29/03/15
00:00","01/04/15
00:00","","1980","Z 1680","","","50","30","0.5","4","2","2","2","2","2","21-50","X","O","","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 01/04/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Limite pluie/neige vers 1700m.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 8926","06/03/15
00:00","09/03/15
00:00","","?","Y 1650","","","60","5","0.5","9","1","9","2","2","9","1-20","X","NE","X","","","","","X","","","X","","","","X","","","X","","","","","","BS","N"
"Date du constat : 09/03/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : départ entre 1800 et 2200m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 8926","04/04/14
00:00","07/04/14
00:00","","2150","Y 1700","","","40","40","0.5","4","2","2","2","2","2","1-20","","","","","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 07/04/2014.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : pluie vers 1800 m dans la nuit du 4 au 5 avril","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 8926","01/04/13
00:00","02/04/13
00:00","","2100","Z 1530","","","40","10","0.300
0000
12","4","2","1","2","9","9","21-50","X","SO","","","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 02/04/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Sur la carte EPA le seuil d'alerte est à 1480 m (niveau chemin vallée blanche) mais sur la fiche de toilettage à 1600 m !","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 8926","06/02/13
00:00","08/02/13
00:00","","2000","Z 1650","","","100","20","0.200
0000
03","4","2","1","2","9","1","51-
100","X","O","","","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 08/02/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 8926","26/04/12
00:00","27/04/12
00:00","","2150","Y 1600","","","200","5","0.5","4","3","2","2","2","2","21-50","X","SO","X","","?","?","X","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 27/04/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : foëhn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
