"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°018
id 5042","23/12/83
00:00","23/12/83
00:00","1650","1370","","","","","","2","4","2","2","2","2","1-20","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°018
id 5042","08/04/83
00:00","08/04/83
00:00","1700","1360","","","","","","2","4","2","2","2","2","1-20","","","X","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°018
id 5042","07/04/83
00:00","07/04/83
00:00","1700","1360","","","","","","2","4","2","2","2","2","1-20","","","X","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°018
id 5042","06/03/83
00:00","06/03/83
00:00","1850","1520","","","","","","2","4","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°018
id 5042","02/03/83
00:00","02/03/83
00:00","1660","1350","","","","","","2","4","2","2","2","2","1-20","","","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°018
id 5042","26/02/83
00:00","26/02/83
00:00","1650","1350","","","","","","2","4","2","2","2","2","0","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°018
id 5042","19/02/83
00:00","19/02/83
00:00","1830","1350","","","","","","2","4","2","2","2","2","0","er","er","er","er","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°018
id 5042","29/01/83
00:00","29/01/83
00:00","1660","1340","","","","","","2","4","2","2","2","2","1-20","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°018
id 5042","27/01/83
00:00","27/01/83
00:00","1650","1400","","","","","","2","4","2","2","2","2","0","","","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°018
id 5042","06/01/83
00:00","06/01/83
00:00","1800","1450","","","","","","2","4","2","2","2","2","0","","","X","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°018
id 5042","26/03/82
00:00","26/03/82
00:00","1900","1450","","","","","","2","4","2","2","2","2","0","X","N","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°018
id 5042","20/02/82
00:00","21/02/82
00:00","1900","1400","","","","","","2","4","2","2","2","2","0","","","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°018
id 5042","11/01/82
00:00","12/01/82
00:00","1860","1350","","","","","","2","4","2","2","2","2","0","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°018
id 5042","08/01/82
00:00","08/01/82
00:00","1750","1380","","","","","","2","4","2","2","2","2","1-20","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°018
id 5042","30/12/81
00:00","31/12/81
00:00","1680","1350","","","","","","2","4","2","2","2","2","1-20","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°018
id 5042","27/12/81
00:00","27/12/81
00:00","1820","1380","","","","","","2","4","2","2","2","2","21-50","","","","","","","","X","X","","X","","","","X","","","X","","","","","","",""
"n°018
id 5042","22/12/81
00:00","22/12/81
00:00","1800","1400","","","","","","2","4","2","2","2","2","1-20","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°018
id 5042","20/12/81
00:00","20/12/81
00:00","1750","1350","","","","","","2","4","2","2","2","2","1-20","","","","","","","","X","X","","X","","","","X","","","X","","","","","","",""
