"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 24/02/2005 :
Site 74085 008 (id 5110) --> site 74085 008 (id 11139)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°008
id 11139","23/01/12
00:00","23/01/12
00:00","","2120","1510","","X","200","25","1.5","8","4","1","5","2","1","21-50","X","NE","X","","X","","X","","X","","X","","","","X","","","X","","","","","","B","O"
"Date du constat : 23/01/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Heure de départ indiquée par responsable des pistes de station ski des CONTA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°008
id 5110","29/01/05
00:00","29/01/05
00:00","","2150","1660","","","200","20","1.5","8","5","1","5","1","1","1-20","X","N","","","","","","X","","","","X","","","X","","","X","","","","","","B","N"
"Date du constat : 30/01/2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Deux survols hélicoptère PGHM suite alerte donnée car avalanche déclenchée par passage 3 skieurs. RAS. Prise de photo le 30/01/05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°008
id 5110","16/12/96
00:00","20/12/96
00:00","","1850","1500","","","","","","2","4","2","5","2","2","0","","","X","X","","X","","","","X","X","","","","X","","","X","","","","","","",""
"Remarque : Traverse la route de Colombus (nom incertain car mal écrit) sur SAT (nom incertain car mal écrit) sur environ 60 m2 de large, parcours très fréquenté par ski retour station,
randonneurs à ski, raquettes voire pisteurs (nom incertain car mal écrit).  Entre 16 et 20 décembre.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°008
id 5110","25/01/95
00:00","25/01/95
00:00","","1850","1550","","","","","","2","2","2","2","5","2","21-50","X","NO","X","","","X","X","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Pluie jusqu'à 2200 m.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°008
id 5110","31/01/84
00:00","31/01/84
00:00","","1800","1550","","","","","","2","2","1","1","1","1","1-20","","","","X","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°008
id 5110","17/03/83
00:00","18/03/83
00:00","","2150","1600","","","","","","2","4","2","5","2","2","1-20","er","er","er","er","","","","","","X","X","","","","X","","","X","","","","","","",""
"n°008
id 5110","21/01/82
00:00","25/01/82
00:00","","1950","1680","","","","","","3","4","5","5","5","5","0","","","","","X","","","","X","","X","","","","X","","","X","","","","","","",""
"n°008
id 5110","08/04/81
00:00","09/04/81
00:00","","2200","1750","","","","","","2","4","2","5","2","2","0","er","er","er","er","","X","","X","","","X","","","","X","","","X","","","","","","",""
"n°008
id 5110","24/01/81
00:00","25/01/81
00:00","","2300","1520","","","","","","2","2","5","5","2","5","0","er","er","er","er","","","","X","","","X","","","","X","","","","","","","X","X","",""
"Remarque : Coupe la route de Calambaz (nom incertain car mal écrit).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°008
id 5110","01/09/80
00:00","25/01/81
00:00","","1950","1680","","","","","","3","4","5","5","5","5","0","er","er","er","er","X","","","","X","","X","","","","X","","","X","","","","","","",""
"n°008
id 5110","12/01/80
00:00","12/01/80
00:00","","2100","1650","","","","","","2","4","5","5","2","5","1-20","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
