"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°009
id 5221","15/02/84
00:00","15/02/84
00:00","1900","1060","","","","","","4","9","1","2","1","5","0","X","N","","","","","X","X","","","X","","","","X","","","","","","X","","","",""
"n°009
id 5221","09/02/84
00:00","09/02/84
00:00","","1100","","","","","","1","1","2","2","2","2",">100","X","er","","","X","","","","","X","X","","","","X","","","X","","","","","","",""
"n°009
id 5221","05/02/84
00:00","05/02/84
00:00","","1100","","","","","","1","1","2","2","2","2",">100","X","er","X","","","","","","","X","X","","","","X","","","X","","","","","","",""
"n°009
id 5221","18/12/81
00:00","18/12/81
00:00","","1080","","","","","","2","1","2","5","2","2","51-
100","X","SO","X","X","X","","X","","X","X","X","","","","X","","","","","","X","","","",""
"Remarque : Dégâts légers. Deux avalanches à quelques heures d'intervalle.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 5221","10/02/80
00:00","10/02/80
00:00","2200","1080","","","","","","1","2","5","5","2","5","er","","","","X","","","","","X","X","X","","","","X","","","X","","","","","","",""
"Remarque : Avalanche importante (gros volume de neige charrié).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 5221","04/02/80
00:00","04/02/80
00:00","2000","1240","","","","","","5","2","5","5","2","2","21-50","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°009
id 5221","28/03/78
00:00","28/03/78
00:00","2000","1180","","","","","","1","3","5","5","5","5","21-50","","","X","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°009
id 5221","21/01/77
00:00","21/01/77
00:00","2100","1100","","","","","","5","3","5","5","2","2","er","","","","X","","","X","","X","","X","","","","X","","","X","","","","","","",""
"n°009
id 5221","21/01/77
00:00","22/01/77
00:00","2100","1000","","","","","","5","3","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 5221","09/04/76
00:00","09/04/76
00:00","2600","1300","","","","","","5","3","2","5","2","5","1-20","X","er","X","","X","","X","","","","X","","","","X","","","X","","","","","","",""
"n°009
id 5221","12/04/75
00:00","13/04/75
00:00","2100","1200","","","","","","5","3","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Avalanche classique du glacier de Taconnaz. Elle s'est arrêtée à la hauteur de la digue construite pour envoyer les crues du torrent de Taconnaz.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 5221","30/01/75
00:00","31/01/75
00:00","2000","1400","","","","","","5","4","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 5221","21/03/71
00:00","21/03/71
00:00","2200","1100","","","","","","1","1","9","9","9","2","er","er","er","er","er","er","er","er","er","er","er","","","","","","","","er","er","er","er","er","er","",""
"Date du constat : 24/03/1971.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Heure notée : nuit.  Situation topographique : versant.  Versant Nord de Taconnaz, versant Sud Ouest de la Côte.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 5221","12/02/70
00:00","13/02/70
00:00","2200","1150","","","","","","1","4","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 14/02/1970.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Heure notée : nuit.  Etat du terrain : glacier.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
