"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°019
id 5257","06/03/94
00:00","06/03/94
00:00","1800","1200","","","","","","4","4","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°019
id 5257","13/04/92
00:00","13/04/92
00:00","1800","1200","","","","","","4","3","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°019
id 5257","10/03/91
00:00","10/03/91
00:00","","","","","","","","4","4","2","2","2","2","0","","","X","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°019
id 5257","23/02/90
00:00","23/02/90
00:00","1800","1200","","","","","","4","4","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°019
id 5257","07/03/89
00:00","07/03/89
00:00","1800","1200","","","","","","4","2","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°019
id 5257","19/04/84
00:00","19/04/84
00:00","1800","1200","","","","","","2","3","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°019
id 5257","20/04/82
00:00","20/04/82
00:00","1700","1200","","","","","","4","4","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°019
id 5257","08/03/81
00:00","08/03/81
00:00","1700","1350","","","","","","4","4","2","5","2","2","0","","","X","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°019
id 5257","11/02/79
00:00","11/02/79
00:00","","","","","","","","1","5","2","2","2","2","er","","","X","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°019
id 5257","13/04/71
00:00","13/04/71
00:00","1800","1000","","","","","","1","4","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 13/04/1972.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 5257","04/05/70
00:00","04/05/70
00:00","1800","1000","","","","","","1","4","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 5257","18/03/69
00:00","18/03/69
00:00","1800","1000","","","","","","1","4","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 19/03/2069.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 5257","11/03/69
00:00","11/03/69
00:00","1800","1000","","","","","","4","4","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 11/03/2069.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 5257","31/03/68
00:00","31/03/68
00:00","1800","900","","","","","","4","4","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 01/04/2068.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 5257","19/02/68
00:00","19/02/68
00:00","1800","1000","","","","","","1","4","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 21/02/2068.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
