"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 25/04/2006 :
Site 74160 009 (id 5269) --> site 74160 201 (id 12320)
Site 74160 014 (id 5274) --> site 74160 201 (id 12320)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°009
id 5269","09/02/99
00:00","09/02/99
00:00","","","1120","","","","30","","4","2","1","2","1","1","51-
100","","","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Arrivée sur la route.  Largeur 30 m.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°014
id 5274","07/02/84
00:00","07/02/84
00:00","","1750","1120","","","","","4.0","2","4","1","5","5","5","51-
100","X","er","","","X","","X","","","X","X","","","","X","","","X","","","","","","",""
"Remarque : Route obstruée (4 m de haut).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°014
id 5274","25/01/84
00:00","25/01/84
00:00","","1750","1120","","","","","","2","2","1","2","1","1","51-
100","X","N","","","X","","X","","","","X","","","","X","","","","","","X","X","","",""
"Remarque : Route de la Futary (nom incertain car mal écrit) à l'Aiguille (bitumée) obstruée.  Quelques dégâts en forêt soumise et non soumise. La route n'est pas ouverte à la circulation en
hiver à cet endroit.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 5269","21/02/63
00:00","21/02/63
00:00","","1700","1050","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 5269","03/02/51
00:00","03/02/51
00:00","","1700","1000","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 5269","10/02/50
00:00","10/02/50
00:00","","1600","1100","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 5269","02/02/42
00:00","02/02/42
00:00","","1600","1100","","","","","","9","1","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 5269","04/05/38
00:00","04/05/38
00:00","","1600","1200","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 5269","02/05/38
00:00","02/05/38
00:00","","1700","1300","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 5269","16/04/38
00:00","16/04/38
00:00","","1700","1200","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 5269","20/05/37
00:00","20/05/37
00:00","","1700","1000","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°014
id 5274","27/03/14
00:00","27/03/14
00:00","","1840","1090","","","","","","9","5","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 5269","19/03/07
00:00","19/03/07
00:00","","1800","1080","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
