"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","L'observation des événements a été arrêtée sur ce site à partir de la campagne 2005-2006.
Filiations entre les sites définies lors du toilettage du 03/03/2005 :
Site 74183 009 (id 5315) --> site 74183 009 (id 11182)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°009
id 5315","25/01/84
00:00","25/01/84
00:00","","1650","1300","","","","","","1","2","1","2","1","1","21-50","er","er","er","er","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°009
id 5315","05/02/80
00:00","05/02/80
00:00","","1650","1300","","","","","","2","4","2","2","2","2","21-50","X","er","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°009
id 5315","30/01/78
00:00","30/01/78
00:00","","1500","1300","","","","","","9","9","9","9","1","9",">100","er","er","er","er","X","","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Identique à celle du 29/01/78 (passée à côté du paravalanche).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 5315","29/01/78
00:00","29/01/78
00:00","","1500","1300","","","","","","9","9","9","9","1","9","51-
100","er","er","er","er","X","","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : L'avalanche est passée sur la route de Sommand (nom incertain car mal écrit) juste avant le paravalanche (en montant).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 5315","06/05/54
00:00","06/05/54
00:00","","1800","1300","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 5315","26/03/53
00:00","26/03/53
00:00","","1800","1300","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 5315","02/03/52
00:00","02/03/52
00:00","","1800","1300","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 5315","05/03/45
00:00","05/03/45
00:00","","1860","1450","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 5315","02/03/42
00:00","02/03/42
00:00","","1860","1450","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
