"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","L'observation des événements a été arrêtée sur ce site à partir de la campagne 2006-2007.
Filiations entre les sites définies lors du toilettage du 28/03/2006 :
Site 74191 006 (id 5362) --> site 74191 006 (id 11856)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°006
id 5362","08/03/81
00:00","09/03/81
00:00","","1750","1300","","","","","","3","4","2","1","2","2","0","","","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°006
id 5362","21/01/80
00:00","21/01/80
00:00","","","","","","","","","3","4","2","1","2","2","er","","","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Avalanche non visible de la route. Renseignements recueillis par employés téleski.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 5362","12/04/79
00:00","12/04/79
00:00","","1750","1450","","","","","","3","4","2","1","2","5","0","","","","X","","","","X","","","X","","","","X","","","","","","X","","","",""
"Remarque : Bordure de forêt de particulier atteinte. Arbres isolés emportés.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 5362","17/04/70
00:00","17/04/70
00:00","","1700","1300","","","","","","9","4","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 27/04/1970.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 5362","14/01/30
00:00","14/01/30
00:00","","1700","1500","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 5362","23/02/28
00:00","23/02/28
00:00","","1700","1500","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 5362","11/04/27
00:00","11/04/27
00:00","","1700","1500","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 5362","02/04/24
00:00","02/04/24
00:00","","1700","1500","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 5362","06/04/22
00:00","06/04/22
00:00","","1700","1500","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
