"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","L'observation des événements a été arrêtée sur ce site à partir de la campagne 2006-2007.
Filiations entre les sites définies lors du toilettage du 08/03/2006 :
Site 74238 013 (id 5490) --> site 74238 013 (id 11956)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°013
id 5490","22/01/95
00:00","22/01/95
00:00","","1700","1150","","","","","","2","4","2","5","2","2","21-50","","","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°013
id 5490","03/03/94
00:00","03/03/94
00:00","","1650","1100","","","","","","2","4","2","5","2","2","1-20","","","X","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°013
id 5490","29/02/92
00:00","03/03/92
00:00","","1700","1060","","","","","","2","4","5","2","2","5","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°013
id 5490","14/03/88
00:00","18/03/88
00:00","","1700","1060","","","","","","2","4","2","2","2","2","0","","","X","X","","X","","","","","X","","","","X","","","","","","X","","","",""
"Remarque : 1 arbre a été arraché en bordure du couloir.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°013
id 5490","16/02/88
00:00","16/02/88
00:00","","1700","1100","","","","","","2","4","2","2","2","5","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°013
id 5490","22/02/86
00:00","24/02/86
00:00","","1700","1300","","","","","","2","4","2","2","2","2","0","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°013
id 5490","08/02/84
00:00","08/02/84
00:00","","1650","1200","","","","","","2","4","2","2","2","2","21-50","","","X","","","X","X","","","","X","","","","X","","","X","","","","","","",""
"n°013
id 5490","02/04/82
00:00","04/04/82
00:00","","1650","1250","","","","","","2","4","5","2","2","5","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°013
id 5490","28/12/81
00:00","28/12/81
00:00","","1650","1150","","","","","","2","4","1","2","2","5","21-50","","","","X","X","","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Incertitude sur le jour du déclenchement de l'avalanche, la date portée est celle du jour de consultation : incertitude de 3 jours.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°013
id 5490","27/01/81
00:00","28/01/81
00:00","","1700","1060","","","","","","1","4","9","2","2","5","0","er","er","er","er","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°013
id 5490","01/09/79
00:00","31/08/80
00:00","","1650","1150","","","","","","9","4","9","2","9","2","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Avalanche de printemps.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°013
id 5490","21/01/79
00:00","21/01/79
00:00","","1650","1200","","","","","","1","4","2","2","2","2","0","","","","X","","","","","","X","X","","","","X","","","X","","","","","","",""
"n°013
id 5490","01/09/78
00:00","31/08/79
00:00","","1650","1150","","","","","","9","4","9","2","9","2","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
