"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"Remarque : Dépôt non observé de près. Nombreuses plaques dans la zone de  départ. Sol visible. (Dépôt formé de boules. Aspect coloré). Descendue probablement le dimanche (Temps
beau et grand soleil).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 11225","25/03/08
00:00","26/03/08
00:00","1700","950","","","","","","4","4","2","2","2","2","21-50","?","","?","?","","","","","X","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 26/03/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Dépôt non observé. Départ de plaques dans la zone de départ et écoulement dans le couloir. 21. neige. (22-23-24-25 giboulées. 4H PRECEDANT L'EVENEMENT=> giboulées.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 11225","12/12/07
00:00","14/12/07
00:00","1700","950","","","","","","9","9","2","2","2","2","51-
100","?","","?","?","","","X","","","X","X","","","","X","","","X","","","","","","BS","N"
"Date du constat : 14/12/2007.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Dépôt non observé de près. Neige jusqu'au 11-12. 12-13-14 Beau avec présence de brouillard.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 11225","13/03/06
00:00","16/03/06
00:00","1700","950","","","","","","4","4","2","2","2","2","0","","","","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 16/03/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque :  Départ de plaques dans la zone de départ et écoulement dans le couloir. Dépôt non observé de près","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 11225","21/02/06
00:00","28/02/06
00:00","1700","950","","","","","","9","4","2","2","2","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 28/02/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque :  Date probable de départ le 21-02 (beau et chaud). Dépôt non observé de près. Avalanche de fond. Présence de terre dans le dépôt.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 11225","13/01/06
00:00","23/01/06
00:00","1700","1000","","","","","","9","4","2","2","2","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 23/01/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Dépôt non observé","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 11225","09/12/05
00:00","15/12/05
00:00","1500","1100","","","","","","9","4","2","2","2","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 15/12/2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Dépôt non observé.  Avalanche de fond. (toute la couche de neige). D'après témoin. Date probable de déclenchement 10-12-05 (redoux)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 5639","11/02/03
00:00","11/02/03
00:00","1500","900","","","","","","1","4","2","2","2","2","0","","er","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 5639","27/02/99
00:00","27/02/99
00:00","1500","900","","","","","","2","4","2","5","2","2","1-20","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 5639","01/02/85
00:00","01/02/85
00:00","1500","800","","","","","","2","4","2","2","2","2","0","","","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 5639","08/02/84
00:00","08/02/84
00:00","1700","700","","","","","","5","2","1","2","2","1",">100","X","er","","","","","","","","X","X","","","","X","","","X","","","","","","",""
