"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"Remarque : Petite coulée insignifiante.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 5770","22/04/99
00:00","22/04/99
00:00","1900","1600","","","","","","2","2","2","2","2","2","21-50","","","X","","X","X","","","","","X","","","","X","","","X","","","","","","",""
"n°002
id 5770","09/02/99
00:00","09/02/99
00:00","","1450","","","","","","4","2","1","2","1","1",">100","X","SO","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Route nationale coupée sur environ 100 ml.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 5770","22/03/96
00:00","22/03/96
00:00","1750","1470","","","","","","2","4","2","2","2","2","0","","","","","X","X","X","","","","X","","","","X","","","X","","","","","","",""
"n°002
id 5770","26/02/95
00:00","26/02/95
00:00","2000","1400","","","","","","2","2","5","2","5","5",">100","X","SO","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Route nationale coupée sur environ 80 ml.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 5770","25/01/95
00:00","25/01/95
00:00","2000","1450","","","","","","2","2","2","2","2","2","51-
100","X","SO","X","","X","X","X","","","","X","","","","X","","","X","","","","","","",""
"n°002
id 5770","17/04/94
00:00","17/04/94
00:00","2000","1500","","","","","","2","4","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°002
id 5770","09/03/94
00:00","09/03/94
00:00","1850","1450","","","","","","4","4","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°002
id 5770","07/04/93
00:00","07/04/93
00:00","2100","1450","","","","","","2","2","2","2","2","2","51-
100","X","SO","X","","X","X","X","","","","X","","","","X","","","X","","","","","","",""
"n°002
id 5770","19/11/92
00:00","19/11/92
00:00","2200","1400","","","","","","4","4","2","2","2","2","51-
100","X","SO","","","","X","X","","","","X","","","","X","","","X","","","","","","",""
"n°002
id 5770","21/12/91
00:00","21/12/91
00:00","1950","1500","","","","","","2","2","5","2","5","5",">100","X","NO","","","X","","X","","","","X","","","","X","","","X","","","","","","",""
"n°002
id 5770","17/01/84
00:00","17/01/84
00:00","2180","1420","","","","","","2","2","1","2","1","1","21-50","X","N","X","X","","","","","X","","X","","","","X","","","","","","","X","","",""
"Remarque : RN506 obstruée sur environ 200 m pour 4 à 8 m de neige.  Observations et photos prises par Mr Di Betta, du service RTM, au cours de survol de la zone en hélicoptères.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 5770","01/09/79
00:00","30/01/80
00:00","","1430","","","","","","2","2","5","2","5
5","","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","","","","","X","","",""
"Date du constat : 30/01/1980.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : RN 506 coupée sur 200 m par 1.50 à 3 m de neige.  Le Col des Montets étant fermé depuis le 22.01.80 (par mesure de sécurité), la date du déclenchement n'est pas connue
(probable le 23 ou 24.01).  Col toujours fermée le 30.01.80.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 5770","01/09/78
00:00","30/01/79
00:00","","1430","","","","","","2","2","5","2","5","5","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","","","","","X","","",""
"n°002
id 5770","21/04/75
00:00","21/04/75
00:00","1800","1400","","","","","","2","4","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
