"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°004
id 111","20/02/86
00:00","20/02/86
00:00","2200","1540","","","","","","2","2","1","2","9","1","21-50","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 111","26/03/85
00:00","26/03/85
00:00","2450","2250","","","","","","2","2","5","2","9","5","1-20","er","er","er","er","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 111","10/03/85
00:00","10/03/85
00:00","1900","1650","","","","","","4","2","2","2","2","2","1-20","X","SE","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 111","28/02/85
00:00","28/02/85
00:00","2300","2000","","","","","","4","3","2","2","2","2","0","","","","X","X","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°004
id 111","22/01/85
00:00","22/01/85
00:00","2200","1600","","","","","","4","4","2","2","2","2","0","","","","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°004
id 111","29/03/84
00:00","29/03/84
00:00","2000","1545","","","","","","4","2","2","2","2","2","21-50","","","","X","","","","","","X","X","","","","X","","","X","","","","","","",""
"n°004
id 111","03/04/82
00:00","04/04/82
00:00","2500","1550","","","","","","4","5","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 111","29/03/80
00:00","29/03/80
00:00","1900","1550","","","","","","2","4","2","2","2","2","1-20","","","X","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : La tranche horaire est inconnue avec précision : possibilité des tranches nuit ou matin.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 111","25/03/79
00:00","25/03/79
00:00","2200","1600","","","","","","2","2","2","2","2","2","1-20","","","X","X","X","X","","","X","X","X","","","","X","","","X","","","","","","",""
"n°004
id 111","28/01/79
00:00","28/01/79
00:00","1900","1600","","","","","","4","2","2","2","2","2","1-20","","","X","X","X","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°004
id 111","14/01/78
00:00","14/01/78
00:00","2000","1600","","","","","","4","2","1","2","1","1",">100","X","SE","","","X","","X","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Etant absent pendant le mois de janvier, les renseignements portés ci-dessus m'ont été communiqués par la population.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 111","24/03/77
00:00","24/03/77
00:00","2000","1545","","","","","","2","1","2","2","2","2","21-50","X","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Vu la quantité de neige déplacée (faible) avalanche de type B2, avec écoulement de vieille neige possible (type B3) en raison du redoux depuis 20 jours environ. Les types B4 et
B5 sont formellement exclus par l'observation.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 111","09/04/75
00:00","09/04/75
00:00","1950","1545","","","","","","2","4","2","2","2","2","21-50","er","er","er","er","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°004
id 111","03/04/72
00:00","03/04/72
00:00","2000","1600","","","","","","4","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 111","21/03/71
00:00","21/03/71
00:00","2000","1600","","","","","","4","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 24/03/1971.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 111","25/03/70
00:00","25/03/70
00:00","2000","1600","","","","","","4","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
