"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°020
id 12481","17/01/08
00:00","17/01/08
00:00","2565","1380","","","","","","8","2","1","2","5","2","21-50","","","","","","","","X","","","","","X","","X","","","","","","","X","","B","O"
"Date du constat : 17/01/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : L'avalanche arrive sur celle du 16/01/08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°020
id 12481","16/01/08
00:00","16/01/08
00:00","1850","1380","","","30","9","5.0","4","2","2","2","2","2","21-50","","","","","","","","X","","","X","","","","X","","","","","","","X","","B","O"
"Date du constat : 16/01/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : L'avalanche atteint le CD 902 qui est fermé à la circulation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°020
id 12481","04/12/07
00:00","04/12/07
00:00","2300","1900","","","","","","8","4","9","2","5","9","21-50","X","N","","","","","X","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 05/12/2007.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Dépôt très étalé et pas assez volumineux pour faire son estimation. Seuil d'observation non atteint mais phénomène intéressant dans site sensible.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°020
id 150","05/03/06
00:00","05/03/06
00:00","2500","1350","","","140","100","4.0","8","2","9","2","9","2","21-50","","","","","","","","","X","","X","","","","X","","","","","","","X","","B","O"
"Date du constat : 06/03/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Dépôt par-dessus celui de la veille (n°6). Départ partie Ouest du site.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°020
id 150","04/03/06
00:00","04/03/06
00:00","2250","1350","","","140","100","4.0","8","2","9","2","2","2","21-50","","","","","X","","","","X","","X","","","","X","","","","","","","X","","B","O"
"Date du constat : 04/03/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Zone de départ partie Ouest non purgée donc décision de fermeture du CD 902","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°020
id 150","19/02/06
00:00","19/02/06
00:00","?","1350","","","100","20","3.0","9","9","9","2","9","2","21-50","?","","?","?","X","","","","X","","X","","","","X","","","","","","","X","","B","O"
"Date du constat : 20/02/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : CD 902 coupé. Impossibilité à déterminer zone de départ.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°020
id 150","23/01/04
00:00","26/01/04
00:00","?","1350","","X","80","20","1.5","9","9","9","2","2","2","0","?","er","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","I","N"
"Date du constat : 26/01/2004.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Arrivée début zone plane sans atteindre la route.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°020
id 150","18/01/04
00:00","19/01/04
00:00","2400","1380","","","200","30","0.800
0000
12","4","2","1","2","5","1","51-
100","","er","","","X","","","","X","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 19/01/2004.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°020
id 150","13/01/04
00:00","13/01/04
00:00","2450","1400","","","200","50","3.0","4","2","2","2","2","2","21-50","","er","X","X","","X","","","X","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 14/01/2004.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
