"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 04/08/2004 :
Site 05007 015 (id 283) --> site 05007 015 (id 8520)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°015
id 8520","06/03/06
00:00","06/03/06
00:00","","2600","1700","","","300","10","3.0","8","5","1","2","9","9",">100","","","","","","","X","X","","","X","","","","X","","","","","","X","","","B","N"
"Date du constat : 06/03/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : L'avalanche est partie du site n°3 pour se prolonger dans le site n°15 (voir plan joint), laissant 3 dépôts (A (L 150m, l 100m, h 5), B (L 100m, l 80m, h 5m) et C (L 300m, l 10m, h
5m)  sur le plan. Dégât forêt = il s'agit de terrain en cours de colonisation par le mélèze (naturelle et plantation de 15 ans)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°015
id 283","12/02/91
00:00","12/02/91
00:00","","2200","1800","","","","","","2","2","1","2","5","1","51-
100","","","","","","","X","X","","","X","","","","X","","","X","","","","","","",""
"n°015
id 283","14/01/78
00:00","14/01/78
00:00","","2000","1600","","","","","","4","2","2","2","2","5",">100","","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°015
id 283","27/03/73
00:00","27/03/73
00:00","","2000","1600","","","","","","1","1","5","2","2","5","er","","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°015
id 283","08/04/72
00:00","08/04/72
00:00","","2200","1700","","","","","","1","4","9","2","9","2","er","er","er","er","er","er","er","er","er","er","er","","","","","","","","er","er","er","er","er","er","",""
"Date du constat : 08/04/1972.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°015
id 283","20/02/69
00:00","20/02/69
00:00","","2500","2000","","","","","","9","1","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 20/02/2069.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°015
id 283","23/01/66
00:00","24/01/66
00:00","","2500","2000","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°015
id 283","20/02/55
00:00","21/02/55
00:00","","2450","1680","","","","","","9","1","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 26/02/2055.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Nuit du 20 au 21.2.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
