"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°014
id 361","25/03/84
00:00","25/03/84
00:00","2500","1800","","","","","","5","2","2","2","2","2","21-50","","","","X","X","","","","X","","X","","","","X","","","X","","","","","","",""
"n°014
id 361","05/02/80
00:00","05/02/80
00:00","2600","1710","","","","","","4","2","2","2","2","2","21-50","","","X","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°014
id 361","14/01/78
00:00","14/01/78
00:00","2500","1650","","","","","","4","2","1","2","1","5",">100","","","","X","X","","","","","","X","","","","X","","","","X","","","X","","",""
"Remarque : L'avalanche a exceptionnellement traversé la route, a détruit le relais TV et a fini sa course dans le torrent. Sur une hauteur d'environ 100 m.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°014
id 361","11/03/75
00:00","11/03/75
00:00","2000","1700","","","","","","4","2","2","2","2","2","21-50","X","","","X","X","","X","","","","X","","","","X","","","X","","","","","","",""
"n°014
id 361","20/03/74
00:00","20/03/74
00:00","2100","1700","","","","","","4","4","2","2","2","2","er","","","X","","","","","","","X","X","","","","X","","","X","","","","","","",""
"n°014
id 361","19/02/72
00:00","20/02/72
00:00","2600","1750","","","","","","4","1","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 20/02/1972.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Heure notée : nuit.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°014
id 361","17/03/51
00:00","18/03/51
00:00","1900","1700","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°014
id 361","10/02/47
00:00","10/02/47
00:00","2000","1750","","","","","","9","1","9","9","9","9","er","er","er","er","er","er","er","er","er","er","er","","","","","","","","er","er","er","er","er","er","",""
"n°014
id 361","17/02/42
00:00","17/02/42
00:00","1900","1780","","","","","","9","1","9","9","9","9","er","er","er","er","er","er","er","er","er","er","er","","","","","","","","er","er","er","er","er","er","",""
"n°014
id 361","25/03/41
00:00","25/03/41
00:00","1900","1780","","","","","","9","4","9","9","2","9","er","er","er","er","er","er","er","er","er","er","er","","","","","","","","er","er","er","er","er","er","",""
"n°014
id 361","15/03/40
00:00","15/03/40
00:00","1900","1780","","","","","","9","4","9","9","2","9","er","er","er","er","er","er","er","er","er","er","er","","","","","","","","er","er","er","er","er","er","",""
"n°014
id 361","17/01/39
00:00","17/01/39
00:00","1900","1780","","","","","","9","4","9","9","2","9","er","er","er","er","er","er","er","er","er","er","er","","","","","","","","er","er","er","er","er","er","",""
"n°014
id 361","03/03/38
00:00","03/03/38
00:00","1900","1780","","","","","","9","4","9","9","2","9","er","er","er","er","er","er","er","er","er","er","er","","","","","","","","er","er","er","er","er","er","",""
"n°014
id 361","20/02/37
00:00","20/02/37
00:00","2000","1700","","","","","","9","1","9","9","9","9","er","er","er","er","er","er","er","er","er","er","er","","","","","","","","er","er","er","er","er","er","",""
"n°014
id 361","06/01/36
00:00","06/01/36
00:00","2000","1750","","","","","","9","4","9","9","2","9","er","er","er","er","er","er","er","er","er","er","er","","","","","","","","er","er","er","er","er","er","",""
"n°014
id 361","03/03/35
00:00","03/03/35
00:00","2000","1750","","","","","","9","1","9","9","9","9","er","er","er","er","er","er","er","er","er","er","er","","","","","","","","er","er","er","er","er","er","",""
"n°014
id 361","30/03/34
00:00","30/03/34
00:00","2000","1750","","","","","","9","4","9","9","2","9","er","er","er","er","er","er","er","er","er","er","er","","","","","","","","er","er","er","er","er","er","",""
