"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 05/08/2004 :
Site 05043 001 (id 464) --> site 05043 001 (id 8585)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°001
id 8585","18/03/10
00:00","23/03/10
00:00","","2200","1400","","","100","25","2.0","9","4","2","2","2","2","0","","","X","","","","","","X","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 23/03/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Fort redoux","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 8585","06/02/09
00:00","07/02/09
00:00","","2400","1350","","","400","50","3.0","8","3","2","2","2","2","21-50","","","X","X","X","X","","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 09/02/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 464","21/01/97
00:00","21/01/97
00:00","","2000","1350","","","","","","2","5","2","2","2","2","1-20","X","S","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°001
id 464","06/01/94
00:00","06/01/94
00:00","","2300","1400","","","","","","2","2","2","2","2","2","51-
100","X","S","X","","X","X","X","","X","X","X","","","","X","","","X","","","","","","",""
"n°001
id 464","22/12/91
00:00","22/12/91
00:00","","2200","1500","","","","","","2","2","2","2","2","2","51-
100","X","N","X","X","","","X","X","","","X","","","","X","","","X","","","","","","",""
"n°001
id 464","15/02/90
00:00","15/02/90
00:00","","2300","1500","","","","","","2","4","2","5","5","2","51-
100","X","N","X","X","","X","X","","X","X","X","","","","X","","","X","","","","","","",""
"n°001
id 464","14/02/88
00:00","14/02/88
00:00","","2100","1500","","","","","","2","2","2","5","5","5","21-50","X","er","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°001
id 464","02/05/86
00:00","02/05/86
00:00","","2100","1300","","","","","","5","2","2","2","2","2","0","","","X","X","","X","","","X","X","X","","","","X","","","X","","","","","","",""
"n°001
id 464","02/03/86
00:00","02/03/86
00:00","","2100","1350","","","","","","5","2","2","2","2","2","1-20","","","X","X","","","X","","X","X","X","","","","X","","","X","","","","","","",""
"n°001
id 464","23/02/86
00:00","23/02/86
00:00","","2050","1500","","","","","","5","2","2","2","2","2","21-50","","","X","X","X","X","","","X","X","X","","","","X","","","X","","","","","","",""
"n°001
id 464","11/02/86
00:00","11/02/86
00:00","","2100","1550","","","","","","2","2","2","2","2","2","0","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°001
id 464","01/02/86
00:00","01/02/86
00:00","","2200","1400","","","","","","2","2","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Déclenchement 15h30. Observation gave par un habitant de Saint Eusebe (digne de foi).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 464","10/03/85
00:00","10/03/85
00:00","","2050","1400","","","","","","2","2","2","2","2","2","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
