"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°001
id 9979","04/03/06
00:00","05/03/06
00:00","2300","1980","","","","","","8","2","1","2","5","9",">100","X","S","","","","","","","","","X","","","","X","","","","","","X","","","B","N"
"Date du constat : 07/03/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 9979","19/02/06
00:00","20/02/06
00:00","2200","1750","","","","","","8","2","1","5","5","1","51-
100","X","SE","","","","","","","","","X","","","","X","","","","","","X","","","B","N"
"Date du constat : 21/02/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 653","26/01/04
00:00","27/01/04
00:00","2250","1800","","","200","30","2.0","8","2","9","5","9","9","51-
100","X","N","","","X","","X","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 27/01/2004.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 653","21/03/01
00:00","21/03/01
00:00","2300","1600","","","","","","1","3","2","5","2","2","er","X","S","X","X","","X","X","","","","X","","","","X","","","","","","X","","","",""
"n°001
id 653","03/01/01
00:00","03/01/01
00:00","2350","1700","","","","","","2","1","2","1","2","5","1-20","X","S","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Avalanche étant passée près d'un groupe de 9 randonneurs.  Intervention de l'hélicoptère du PGHM.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 653","18/04/00
00:00","18/04/00
00:00","2300","1900","","","","","","2","2","2","2","2","2","51-
100","","","X","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°001
id 653","25/03/96
00:00","25/03/96
00:00","2300","1800","","","","","","2","4","2","2","2","2","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°001
id 653","04/04/92
00:00","04/04/92
00:00","2300","1800","","","","","","3","2","5","2","2","5",">100","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°001
id 653","08/03/91
00:00","08/03/91
00:00","2300","1800","","","","","","2","4","2","2","2","2",">100","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°001
id 653","10/02/91
00:00","10/02/91
00:00","2300","1800","","","","","","3","2","1","2","5","1","51-
100","","","","","","","X","X","","","X","","","","X","","","X","","","","","","",""
"n°001
id 653","14/02/90
00:00","14/02/90
00:00","2300","1800","","","","","","4","2","1","2","1","1",">100","","","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°001
id 653","06/03/89
00:00","06/03/89
00:00","2300","1800","","","","","","4","2","1","2","2","1","51-
100","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°001
id 653","20/04/87
00:00","20/04/87
00:00","2300","1650","","","","","","2","4","2","2","2","2","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°001
id 653","05/03/79
00:00","05/03/79
00:00","2300","1650","","","","","","2","3","2","2","2","2","er","","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°001
id 653","28/02/78
00:00","28/02/78
00:00","2300","1650","","","","","","2","3","2","2","2","2","er","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°001
id 653","23/01/77
00:00","23/01/77
00:00","2300","1650","","","","","","2","3","2","1","2","2","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
