"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 10/09/2004 :
Site 05090 036 (id 751) --> site 05090 036 (id 8836)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°036
id 8836","22/03/10
00:00","23/03/10
00:00","","1400","1230","","X","50","20","1.5","4","5","2","2","2","2","?","?","","X","X","?","?","?","?","X","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 23/03/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : la coulée s'est arrêtée dans le lit de la rivière sur une distance plane de 20m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°036
id 8836","29/01/06
00:00","29/01/06
00:00","","1400","1240","","X","15","10","0.5","8","4","2","2","2","2","21-50","X","SE","","X","","","","","X","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 30/01/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : La coulée a parcourue 1m dans le lit de la rivière.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°036
id 751","19/12/96
00:00","19/12/96
00:00","","1540","1340","","","","","","5","5","2","2","2","2","er","","","X","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°036
id 751","17/03/96
00:00","17/03/96
00:00","","1540","1220","","","","","","2","5","5","2","2","2","21-50","X","N","X","","","","X","","X","X","X","","","","X","","","X","","","","","","",""
"n°036
id 751","07/05/87
00:00","07/05/87
00:00","","1540","1220","","","","","","9","9","9","2","9","9","er","er","er","er","er","er","er","er","er","er","er","","","","","X","","","X","","","","","","",""
"n°036
id 751","12/05/86
00:00","12/05/86
00:00","","1540","1220","","","","","","9","9","9","2","9","9","er","er","er","er","er","er","er","er","er","er","er","","","","","X","","","X","","","","","","",""
"n°036
id 751","01/09/81
00:00","18/01/82
00:00","","1540","1220","","","","","","9","9","9","2","9","9","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°036
id 751","01/03/81
00:00","01/03/81
00:00","","1540","1220","","","","","","5","5","2","2","2","2","1-20","","","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°036
id 751","01/09/80
00:00","18/01/81
00:00","","1540","1220","","","","","","9","9","9","2","9","9","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°036
id 751","20/02/78
00:00","20/02/78
00:00","","1530","1220","","","","","","2","5","5","2","2","2","21-50","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Coulée peu importante.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
