"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°004
id 1045","11/02/78
00:00","11/02/78
00:00","2300","1400","","","","","","4","2","1","5","1","1","51-
100","","","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 1045","25/02/76
00:00","25/02/76
00:00","2300","1400","","","","","","5","4","2","2","2","2","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 1045","17/02/76
00:00","17/02/76
00:00","2300","1400","","","","","","4","2","2","2","5","5","er","er","er","er","er","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 1045","14/04/75
00:00","14/04/75
00:00","2300","1400","","","","","","2","4","2","2","2","2","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Temps très chaud et très ensoleillé.  La chute de l'avalanche a eu lieu sous nos yeux à 16 h 45 exactement.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 1045","05/02/72
00:00","05/02/72
00:00","2000","1600","","","","","","1","1","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 05/02/1972.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004_bi
s
id 1046","05/02/60
00:00","05/02/60
00:00","2000","1200","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 1045","13/02/28
00:00","13/02/28
00:00","1900","1200","","","","","","9","4","9","9","2","9","er","er","er","er","er","er","er","er","er","er","er","","","","","","","","er","er","er","er","er","er","",""
