"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 03/08/2004 :
Site 05157 010 (id 1132) --> site 05157 010 (id 8566)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°010
id 8566","20/03/10
00:00","22/03/10
00:00","","2000","Y 1910","","","60","10","0.800
0000
12","4","3","2","2","2","2","0","","","X","X","","X","","","X","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 22/03/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Avalanche de neige humide dont le départ se situt en dessous du seuil d'observation mais qui ne dépasse pas le seuil d'alerte.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°010
id 8566","27/02/10
00:00","01/03/10
2200
00:00","","","Z 1900","","","250","30","0.800
0000
12","9","2","2","2","2","2","1-20","","","X","","X","X","","","X","","X","","","","X","","","X","","","","","","B","O"
"Date du constat : 01/03/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Seuil d'alerte dépassé. L'avalanche n'a pas suivi le couloir habituel (branche Z); elle est passé 200m plus au sud ( juste en limite de l'enveloppe du site).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°010
id 8566","15/12/08
00:00","16/12/08
00:00","","2300","1890","","","60","100","1.0","8","2","1","1","9","1",">100","","","","","X","","","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 18/12/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°010
id 8566","15/02/06
00:00","22/02/06
00:00","","2250","2050","","","100","50","1.5","8","4","1","1","2","1","21-50","X","SO","?","?","","","","X","","","X","","","","X","","","X","","","","","","B","er"
"Date du constat : 22/02/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°010
id 1132","19/01/04
00:00","20/01/04
00:00","","2300","2000","","","100","40","2.0","8","4","9","1","2","9","51-
100","","er","","","","","X","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 21/01/2004.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Neige fraîche du week end. Rupture de la couche sur la paroi rocheuse à l""""aval de la cote 2369.  Carte IGN 3637 ouest Aiguilles (Caufours (nom incertain car mal écrit)).
Avalanche du Poy.  Evènement de faible importance.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°010
id 1132","04/03/01
00:00","04/03/01
00:00","","2400","2150","","","","","","2","2","2","1","2","2","21-50","","","","","X","X","","","","","X","","","","X","","","X","","","","","","",""
"n°010
id 1132","06/01/01
00:00","06/01/01
00:00","","2300","2100","","","","","","2","2","2","1","2","2","21-50","","","","","X","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°010
id 1132","27/12/99
00:00","27/12/99
00:00","","2500","1900","","","","","","2","4","5","1","2","5","21-50","X","O","","","X","","X","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Toute la plaque de neige fraîche a glissé jusqu'au torrent (largeur = 250 m, longueur = 500 m).  Jour de tempête, vent fort, piste de fond en aval.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°010
id 1132","20/03/96
00:00","20/03/96
00:00","","2300","2000","","","","","","2","4","2","1","2","2","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
