"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"Remarque : Déclenchement par réseau I.C.A.R.E.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 1333","13/03/80
00:00","13/03/80
00:00","2000","1730","","","","","","4","2","1","5","2","5","51-
100","X","NE","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°019
id 1333","28/01/79
00:00","28/01/79
00:00","2300","1800","","","","","","2","3","2","2","2","2","er","","","X","","","X","","","","","","","X","","X","","","X","","","","","","",""
"n°019
id 1333","09/01/79
00:00","09/01/79
00:00","2100","1730","","","","","","5","2","2","5","2","2","21-50","er","er","er","er","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°019
id 1333","11/02/78
00:00","11/02/78
00:00","2150","1740","","","","","","2","2","1","1","1","1","51-
100","er","er","er","er","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°019
id 1333","28/01/78
00:00","28/01/78
00:00","2000","1740","","","","","","2","2","5","1","5","5","21-50","er","er","er","er","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°019
id 1333","14/01/78
00:00","14/01/78
00:00","2300","1750","","","","","","5","2","1","5","1","1",">100","X","E","","","X","","X","","","","","","X","","X","","","X","","","","","","",""
"n°019
id 1333","22/01/77
00:00","22/01/77
00:00","1900","1700","","","","","","2","2","2","1","2","2","21-50","","","","X","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°019
id 1333","11/01/77
00:00","11/01/77
00:00","2150","1750","","","","","","4","2","1","1","2","1","51-
100","er","er","er","er","X","","","","","","","","X","","X","","","X","","","","","","",""
"Remarque : Explosion système I.C.A.R.E.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 1333","19/12/76
00:00","19/12/76
00:00","2100","1800","","","","","","4","2","1","2","1","1","51-
100","","","","X","X","","","","","","","","X","","X","","","X","","","","","","",""
"Remarque : Déclenchement par réseau I.C.A.R.E.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 1333","12/03/75
00:00","12/03/75
00:00","2040","1800","","","","","","2","4","5","5","5","5","51-
100","X","","","","X","","","","","","X","","","","X","","","","","","X","X","","",""
"Remarque : A coupé CD 97.  Dégâts en forêt par élargissement du cône à l'arrivée (dégâts légers).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 1333","25/12/73
00:00","25/12/73
00:00","2200","1800","","","","","","2","1","2","2","2","2","21-50","er","er","er","er","X","","","","","","X","","","","X","","","X","","","","","","",""
"Date du constat : 27/12/1974.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°019
id 1333","18/02/72
00:00","18/02/72
00:00","2100","1700","","","","","","4","1","9","9","9","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 22/02/1972.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
