"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°023
id 10889","31/01/12
00:00","01/02/12
00:00","?","1550","","","15","8","2.5","9","9","1","2","2","1","51-
100","X","NE","","","X","","X","?","?","?","X","","","","X","","","","","","","X","","BS","O"
"Date du constat : 01/02/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Episode neigeux qui débute mardi 31 janvier vers 4h00 du matin et qui prend fin le 01 février vers 19h00 avec un vent trés fort de NE (lombarde) en fin de précipitation. Le seuil
d'alerte (route de Salèze RD 2589 ) est atteint sans dégât.L'avalanche s'est arrêtée sur la route.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°023
id 10889","18/02/10
00:00","22/02/10
00:00","?","1550","","","13","10","1.0","9","9","2","2","2","2","21-50","X","NE","X","","X","","","","","","X","","","","X","","","","","","","X","","BS","O"
"Date du constat : 24/02/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque :  Difficulté d'observation de la zone de départ mais l'altitude ne doit pas être élevée car la coulée s'est arrêtée au bord de la route et ne l'a pas traversé.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°023
id 10889","17/02/10
00:00","18/02/10
00:00","?","1550","","","5","3","1.0","9","9","2","2","2","2","21-50","?","","?","?","X","","","","","","X","","","","X","","","","","","","X","","BS","O"
"Date du constat : 18/02/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Difficulté d'observation de la zone de départ mais l'altitude ne doit pas être élevée car la coulée s'est arrêtée au bord de la route et ne l'a pas traversé.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°023
id 10889","22/12/09
00:00","23/12/09
00:00","1750","1530","","","30","6","1.0
4","","2","2","2","2","2","21-50","","","X","X","","X","","","","","X","","","","X","","","","","","","X","","B","O"
"Date du constat : 23/12/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque :  A atteint le seuil d'alerte, le CD 89. Prévenu R.T.M. NICE (le seuil d'alerte est presque toujours atteint par cette avalanche).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°023
id 10889","04/03/09
00:00","05/03/09
00:00","?","1540","","","30","20","3.0","9","9","2","2","2
2","","21-50","","","","X","X","","","","","","X","","","","X","","","","","","","X","","B","O"
"Date du constat : 06/03/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Période de mauvais temps depuis le 4/03/09 avec chutes de neige limite entre 1200 et 1500m.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°023
id 10889","07/02/09
00:00","09/02/09
00:00","?","1550","","","8","4","1.0","9","9","9","2","2","2","51-
100","?","","?","?","X","","","","","","X","","","","X","","","","","","X","X","","BS","O"
"Date du constat : 09/02/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°023
id 10889","09/12/08
00:00","10/12/08
00:00","1600","1540","","","15","10","1.5","9","4","2","2","2","2","21-50","","","","X","?","?","?","?","?","?","X","","","","X","","","","","","","X","","B","O"
"Date du constat : 12/12/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Nous avons informé Monsieur MARCHAND responsable SDA qu'il faudrait fermer la route en aval de ce couloir car la route a été déneigée plus haut dans le vallon de Salèse.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°023
id 10889","19/01/08
00:00","21/01/08
00:00","?","1530","","X","30","5","1.799
9999
5","0","0","2","0","0","0","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","BS","O"
"Date du constat : 21/01/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Arrivée au seuil d'alerte qui se situe sur la route départementale. Volume faible. Contenue dans le couloir. Un touriste estime l'événement au 20/01/08 à 18h/19h.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°023
id 10889","11/01/08
00:00","15/01/08
00:00","?","1530","","X","10","5","1.5","9","9","9","9","9","9","?","?","","?","?","?","?","?","?","?","?","","","","X","X","","","X","","","","","","B","O"
