"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"Date du constat : 18/02/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 10786","08/01/10
00:00","11/01/10
00:00","B 1950","1300","","","25","8","1.5","8","2","2","5","2","2","51-
100","","","","","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 11/01/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Période de mauvais temps du 8 au 10/01/2010.Limite pluie neige variant entre 500 et 1500m.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 10786","06/02/09
00:00","06/02/09
00:00","","1100","","","350","75","20.0","8","2","2","5","2","2","51-
100","","","","X","X","","","","","","X","","","","X","","","","","","","X","X","B","O"
"Date du constat : 08/02/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Arrivée commune avec le site n°5 à l'aplomb du hameau de Rigons.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 10786","15/01/09
00:00","19/01/09
00:00","","1300","","","20","10","6.0","4","4","2","5","2","2","0","","NE","","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 19/01/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 10786","14/12/08
00:00","15/12/08
00:00","","1160","","","350","55","15.0","8","5","2","1","2","2","51-
100","X","N","X","X","X","","","","","","X","","","","X","","","","","","X","X","","I","O"
"Date du constat : 15/12/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Arrivée commune avec le site n°5. ALTITUDES: - A = 2050 - 1130 - B = 2100 - 1130 - C = 1950 - 1130","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 10786","04/01/08
00:00","07/01/08
00:00","","1300","","","10","4","1.5","4","4","2","5","2","2","21-50","","NE","","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 07/01/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Mauvais temps sur la période du 3 au 6 janvier 2008. Chute de neige 30 à 40cm à 1500m Lombarde entre temps et redoux le 6 et 7/01/08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 1494","01/01/01
00:00","31/01/01
00:00","1850","1150","","","","","","2","4","2","2","2","2","er","","","","X","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°006
id 1494","28/01/98
00:00","28/01/98
00:00","2000","1180","","","","","","2","4","2","2","2","5","1-20","X","er","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°006
id 1494","06/01/97
00:00","06/01/97
00:00","1800","1180","","","","","","2","5","2","2","2","2","51-
100","","","","X","","","","","X","X","X","","","","X","","","X","","","","","","",""
"n°006
id 1494","01/04/86
00:00","30/04/86
00:00","1900","1100","","","","","","1","4","2","1","2","2","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","","","","X","X","","",""
"Remarque : Quelques arbres arrachés et le chemin départemental du Libaret recouvert par une importante couche de neige.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 1494","01/04/84
00:00","30/04/84
00:00","1950","1200","","","","","","2","4","2","1","2","2","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°006
id 1494","17/03/80
00:00","17/03/80
00:00","1850","1350","","","","","","5","5","2","1","2","2","51-
100","","","","X","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : L'avalanche a dù se déclencher entre le 14 mars et 17 mars 1980.  Chute de neige le 13/3 et redoux après.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
