"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 15/06/2005 :
Site 06163 015 (id 1529) --> site 06163 015 (id 10709)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°015
id 10709","22/02/15
00:00","22/02/15
00:00","","1850","1490","","","25","4","1.5","4","2","1","2","2","1","21-50","X","","","","X","","?","","X","?","","","X","","X","","","","","","","X","","B","N"
"Date du constat : 25/02/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Déclenchement au CATEX. Le dépôt s'arrête au niveau de la route. Petite coulée de neige fraîche. A noter que le couloir parallèle d'à côté (EPA 206, qui n'atteint pas le seuil
d'avis) a fait un départ en cassure linéaire après le déclenchement au CATEX, contrairement à celui ci qui a fait un départ en poire suite au déclenchement préventif.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°015
id 10709","19/02/14
00:00","19/02/14
00:00","","1870","1480","","","60","10","2.0","8","4","2","2","2","2","1-20","?","","?","?","?","?","?","?","?","?","X","","","","X","","","","","","","X","X","B","N"
"Date du constat : 24/02/2014.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Dépôt atterrissant dans le cours d'eau après avoir traversé la route alors qu'elle était ouverte à la circulation. Un peu de terre dans le dépôt.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°015
id 10709","11/02/14
00:00","11/02/14
00:00","","1880","1490","","","30","6","1.5","8","2","2","2","2","2","21-50","?","","?","?","?","?","?","?","?","?","X","","","","X","","","","","","","X","X","B","N"
"Date du constat : 14/02/2014.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Dépôt recouvrant le fond du vallon de Casterino.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°015
id 10709","05/02/14
00:00","05/02/14
00:00","","1800","1480","","","50","7","3.0","8","2","1","2","2","2","21-50","?","","?","?","?","?","?","?","?","?","","","X","","X","","","","","","","X","X","B","N"
"Date du constat : 07/02/2014.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Déclanchement au CATEX, l'avalanche part pendant la chute de neige. L'avalanche a traversé la route et finit sa course dans la rivière.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°015
id 10709","12/04/13
00:00","12/04/13
00:00","","1920","1480","","X","40","10","0.600
0000
24","8","4","2","2","2","2","0","?","","X","?","?","?","?","?","?","?","X","","","","X","","","","","","","X","X","B","N"
"Date du constat : 15/04/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Le dépôt traverse la RD 91 et finit sa course dans le cours d'eau du vallon de Casterino. Le dépôt est constitué de gros blocs de neige humide et de terre (aspect brun). Le départ a
eu lieu suite à une hausse importante des températures. La route était ouverte à la circulation lorsque l'événement s'est produit.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°015
id 10709","18/03/13
00:00","18/03/13
00:00","","2000","1490","","","25","3","1.0","8","2","9","2","2","2","51-
100","?","","X","?
X","","?","?","?","?","?","","","X","","X","","","","","","","X","","B","N"
"Date du constat : 20/03/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Déclenchement au CATEX. Le dépôt a atteint la RD 91 mais pas le cours d'eau.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°015
id 10709","06/03/13
00:00","06/03/13
00:00","","2000","1480","","X","100","7","2.5","4","3","2","2","2","2","51-
100","?","","X","?","X","","?","?","?","?","","","X","","X","","","","","","","X","X","B","N"
