"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°008
id 1683","19/11/96
00:00","19/11/96
00:00","1950","1580","","","","","","4","2","1","5","5","5","51-
100","X","er","","","","","X","X","","","X","","","","X","","","X","","","","","","",""
"n°007
id 1682","28/02/96
00:00","28/02/96
00:00","1780","1590","","","","","","2","4","2","1","2","2","1-20","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°009
id 1687","24/02/96
00:00","24/02/96
00:00","1870","1530","","","","","","2","4","2","1","2","2","21-50","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°009
id 1687","22/02/96
00:00","22/02/96
00:00","2180","1520","","","","","","4","2","1","1","1","1","51-
100","","","","","","","X","","","","X","","","","X","","","X","","","","","","",""
"n°009
id 1687","04/12/95
00:00","04/12/95
00:00","1970","1550","","","","","","4","4","2","2","2","2","21-50","","","","","","","","","X","X","X","","","","X","","","X","","","","","","",""
"n°008
id 1683","04/12/95
00:00","04/12/95
00:00","1920","1540","","","","","","4","4","2","2","2","2","21-50","","","","","","","","","X","X","X","","","","X","","","X","","","","","","",""
"n°009
id 1687","16/01/95
00:00","16/01/95
00:00","2000","1510","","","","","","2","4","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Arrivée de la coulée jusqu'au niveau de BALDARQUES.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 1682","16/01/95
00:00","16/01/95
00:00","2000","1600","","","","","","2","4","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : La coulée est arrivée au niveau de BALDARQUES.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°008
id 1683","13/04/94
00:00","13/04/94
00:00","1980","1650","","","","","","3","4","2","2","2","2","21-50","X","er","","","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°007
id 1682","12/04/94
00:00","12/04/94
00:00","1950","1600","","","","","","4","4","5","1","5","5","21-50","X","er","","","","","X","","X","","X","","","","X","","","X","","","","","","",""
"n°007
id 1682","25/02/94
00:00","25/02/94
00:00","1950","1650","","","","","","2","4","2","1","2","2","0","","","","X","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°008
id 1683","21/02/94
00:00","22/02/94
00:00","1950","1600","","","","","","2","4","2","1","2","2","1-20","","","X","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°009
id 1687","16/02/94
00:00","16/02/94
00:00","1820","1500","","","","","","2","4","2","1","2","2","1-20","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Arrivée dans le cours du ruisseau de Baldarquès.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 1687","30/12/93
00:00","30/12/93
00:00","1930","1590","","","","","","4","4","2","2","2","2","er","","","X","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°008
id 1683","30/12/93
00:00","30/12/93
00:00","1950","1590","","","","","","2","4","2","5","2","2","er","","","X","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°009
id 1687","26/10/93
00:00","26/10/93
00:00","1980","1620","","","","","","2","4","2","2","2","2","1-20","","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°009
id 1687","07/10/92
00:00","07/10/92
00:00","2120","1580","","","","","","4","5","2","2","2","2","21-50","","","X","","","","","","X","","X","","","","X","","","X","","","","","","",""
