"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 15/06/2004 :
Site 09285 004 (id 1770) --> site 09285 004 (id 7771)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°004
id 7771","24/01/14
00:00","25/01/14
00:00","","?","900","","","200","50","3.0","9","5","9","2","2","2","21-50","X","","X","X","X","X","X","","X","X","X","","","","X","","","X","","","","","","I","O"
"Date du constat : 27/01/2014.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Le seui d'alerte n'est pas atteind mais l'avalanche quitte son couloir pour venir sur la route, trajet inhabituel.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 7771","26/03/07
00:00","26/03/07
00:00","","1750","1200","","X","120","10","3.0","8","1","1","5","2","9","51-
100","","","","","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 26/03/2007.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : N'atteint pas les ruisseau d'Augouls","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 7771","10/03/06
00:00","13/03/06
00:00","","1850","1200","","X","250","15","6.0","8","4","2","5","2","9","51-
100","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 13/03/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 7771","10/03/05
00:00","14/03/05
00:00","","1800","1000","","","300","25","12.0","8","4","2","2","2","2","51-
100","","","","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 14/03/2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : n'atteint pas le seuil d'observation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 1770","16/01/04
00:00","18/01/04
00:00","","1800","1000","","","100","15","5.0","4","4","2","2","2","2","51-
100","?","er","?","?","","X","X","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 19/01/2004.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : N'atteint pas le ruisseau d'Augouls (nom incertain).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 1770","10/02/03
00:00","15/02/03
00:00","","1900","900","","","150","30","5.0","9","9","9","9","9","9",">100","X","O","","","X","","X","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Pas de dégâts.  Atteint le ruisseau d'Augouls.  Transport de matériaux (terre + rochers).  Atteint  le versant opposé. Remarque dépôt:L = 150 m, l = 30 m, H = > 5 m.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 1770","01/12/93
00:00","31/12/93
00:00","","1900","1100","","","","","","1","4","5","2","2","5","51-
100","","","","","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°004
id 1770","06/04/92
00:00","06/04/92
00:00","","1850","1100","","","","","","2","4","5","2","2","5","51-
100","X","NO","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 1770","10/05/91
00:00","10/05/91
00:00","","","","","","","","","5","5","5","2","2","2","51-
100","","","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Arrive au ruisseau d'Augouls (nom incertain car mal écrit).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
