"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"Remarque : Arrive sur la piste forestière de la Plagne.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 1790","29/12/93
00:00","29/12/93
00:00","1300","1000","","","","","","4","4","2","2","2","1","er","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Est arrivée sur la piste forestière de la Plagne.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 1790","12/12/90
00:00","12/12/90
00:00","1300","1000","","","","","","4","5","2","2","2","5","1-20","X","NO","","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°007
id 1790","26/01/87
00:00","26/01/87
00:00","","1027","","","","","","9","9","2","2","2","2","0","","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°007
id 1790","28/01/86
00:00","28/01/86
00:00","1300","1000","","","","","","5","2","2","2","2","1","21-50","","","","X","","","","","X","","X","","","","X","","","er","er","er","er","er","er","",""
"Remarque : Passerelle non visible sous l'avalanche (possibilité de dégâts). Epaisseur de l'avalanche 8 à 10 mètres.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 1790","01/09/71
00:00","31/08/72
00:00","","","","","","","","9","9","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Culot observé le 31 mars.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°007
id 1790","01/09/70
00:00","31/08/71
00:00","","","","","","","","4","4","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
