"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 16/06/2004 :
Site 09322 004 (id 1821) --> site 09322 004 (id 7805)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°004
id 7805","28/02/15
00:00","04/03/15
00:00","","1730","987","","","140","20","1.0","8","4","2","2","2","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 05/03/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 7805","19/11/13
00:00","21/01/14
00:00","","1720","970","","","","30","2.0","8","1","2","2","2","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 21/01/2014.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 7805","06/02/09
00:00","18/02/09
00:00","","1800","1100","","X","200","40","3.0","9","1","9","2","2","2","21-50","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","I","er"
"Date du constat : 18/02/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : N'atteint pas le seuil d'alerte. Niveau passerelle.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 1821","05/02/03
00:00","05/02/03
00:00","","1750","1200","","","100","20","10.0","2","4","2","1","2","2","21-50","","er","X","","X","","","","","X","X","","","","X","","","X","","","","","","",""
"Remarque :  Remarque dépôt:Volume du dépôt : 100 * 20 * 10.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 1821","08/12/02
00:00","08/12/02
00:00","","1750","1350","","","50","30","7.0","4","4","2","1","2","2","21-50","","er","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque :  Remarque dépôt:Volume du dépôt : 50 * 30 * 7.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 1821","28/02/01
00:00","28/02/01
00:00","","1750","1350","","","","","","2","4","2","1","2","2","21-50","","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°004
id 1821","03/02/01
00:00","03/02/01
00:00","","1750","1350","","","","","","2","4","2","1","2","2","21-50","X","NO","X","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°004
id 1821","29/01/01
00:00","29/01/01
00:00","","1750","975","","","","","","2","4","2","5","2","2","51-
100","","","X","","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°004
id 1821","28/02/99
00:00","28/02/99
00:00","","1750","1350","","","","","","2","4","2","1","2","2","1-20","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 1821","16/02/99
00:00","16/02/99
00:00","","1750","1350","","","","","","2","4","2","1","2","2","1-20","","","X","","","X","","","","X","X","","","","X","","","X","","","","","","",""
"n°004
id 1821","29/01/99
00:00","29/01/99
00:00","","1750","1300","","","","","","2","4","2","1","2","2","1-20","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°004
id 1821","18/01/99
00:00","18/01/99
00:00","","1750","1350","","","","","","2","4","2","1","2","2","21-50","","","X","X","X","","","","","","X","","","","X","","","X","","","","","","",""
