"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 04/02/2005 :
Site 38005 007 (id 1954) --> site 38005 007 (id 9574)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°007
id 1954","22/02/99
00:00","22/02/99
00:00","","1900","1300","","","","","","2","2","5","2","2","2","51-
100","X","er","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°007
id 1954","24/02/95
00:00","25/02/95
00:00","","","1250","","","","","","9","9","5","2","2","5","51-
100","","","X","X","X","X","","","","","X","","","","X","","","X","","","","","","",""
"n°007
id 1954","22/01/95
00:00","23/01/95
00:00","","2100","1300","","","","","","2","4","2","2","2","2","51-
100","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°007
id 1954","25/12/93
00:00","25/12/93
00:00","","1900","1400","","","","","","2","2","1","2","5","5","51-
100","X","NO","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°007
id 1954","22/12/91
00:00","22/12/91
00:00","","2000","1500","","","","","","2","2","2","2","2","2",">100","X","NO","","X","X","X","","","","","X","","","","X","","","X","","","","","","",""
"n°007
id 1954","14/02/90
00:00","15/02/90
00:00","","1800","1400","","","","","","2","4","2","2","2","2","51-
100","","","X","X","X","X","","","","","X","","","","X","","","X","","","","","","",""
"n°007
id 1954","18/03/88
00:00","19/03/88
00:00","","2150","1300","","","","","","5","2","2","2","2","2","21-50","X","O","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°007
id 1954","12/02/88
00:00","13/02/88
00:00","","2000","1300","","","","","","2","2","5","2","5","5","51-
100","X","SO","","","X","","","","X","","X","","","","X","","","X","","","","","","",""
"n°007
id 1954","26/12/86
00:00","27/12/86
00:00","","2000","1300","","","","","","5","2","5","2","5","5","21-50","","","","X","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°007
id 1954","24/02/86
00:00","24/02/86
00:00","","2000","1200","","","","","","2","2","2","2","2","2","1-20","X","O","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°007
id 1954","08/05/85
00:00","08/05/85
00:00","","1900","1400","","","","","","4","4","2","2","2","2","21-50","er","er","er","er","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°007
id 1954","06/02/83
00:00","06/02/83
00:00","","1800","1400","","","","","","2","2","1","2","5","5","51-
100","","NO","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°007
id 1954","20/01/81
00:00","20/01/81
00:00","","1900","1400","","","","","","2","2","1","2","5","2",">100","X","NO","","","X","","X","","","","X","","","","X","","","X","","","","","","",""
"n°007
id 1954","24/01/80
00:00","25/01/80
00:00","","2100","1300","","","","","","2","4","2","2","2","2","21-50","","","X","X","X","X","","","","","X","","","","X","","","X","","","","","","",""
"n°007
id 1954","02/02/78
00:00","03/02/78
00:00","","2000","1100","","","","","","5","2","1","2","5","5",">100","X","er","","","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Coupe la route de la traverse (nom incertain car mal écrit).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
