"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°011
id 2017","08/02/84
00:00","08/02/84
00:00","1900","1050","","","","","","2","2","1","2","5","5","21-50","X","N","","","X","","X","","","","X","","","","X","","","X","","","","","","",""
"n°011
id 2017","07/02/84
00:00","07/02/84
00:00","2150","1050","","","","","","2","2","1","2","5","5","21-50","er","er","er","er","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°011
id 2017","24/01/84
00:00","24/01/84
00:00","2150","1050","","","","","","2","2","1","2","1","1",">100","X","N","","","X","","X","","","","X","","","","X","","","","","","","X","","",""
"Remarque : Route coupée.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°011
id 2017","20/01/81
00:00","20/01/81
00:00","2150","1050","","","","","","1","2","1","2","5","5",">100","","","","X","X","","","","X","X","X","","","","X","","","","","","","X","","",""
"Remarque : RN526 coupée à la circulation.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°011
id 2017","07/01/81
00:00","07/01/81
00:00","2100","1050","","","","","","2","2","1","1","1","1","1-20","X","er","","","","","X","X","","","X","","","","X","","","","","X","","","","",""
"Remarque : Route départementale 526 coupée.  Dégagée avec fraise le 8.01.81.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°011
id 2017","04/02/80
00:00","04/02/80
00:00","2100","1050","","","","","","2","1","2","2","2","2","51-
100","","","X","","","X","","","","X","X","","","","X","","","X","","","","","","",""
"Remarque : Elle s'est arrêtée à quelques mètres de la route nationale 526.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°011
id 2017","21/03/78
00:00","21/03/78
00:00","2100","1050","","","","","","2","1","5","2","2","5","21-50","er","er","er","er","X","","","","","","X","","","","X","","","","","","","X","","",""
"Remarque : Route nationale 526 coupée.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°011
id 2017","16/02/78
00:00","16/02/78
00:00","2100","1050","","","","","","1","2","2","2","2","2","0","","","","X","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°011
id 2017","29/01/78
00:00","29/01/78
00:00","2100","1050","","","","","","1","1","2","2","5","5",">100","","","","X","X","","","","","","X","","","","X","","","","","","","X","","",""
"Remarque : Traverse route départementale.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°011
id 2017","18/01/65
00:00","18/01/65
1800
00:00","","1030","","","","","","4","1","9","9","9","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
