"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 06/01/2005 :
Site 38090 001 (id 2036) --> site 38090 001 (id 9384)
Site 38090 001_A (id 2037) --> site 38090 001 (id 9384)
Site 38090 001_B (id 2038) --> site 38090 001 (id 9384)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°001_A
id 2037","01/09/86
00:00","02/02/87
00:00","","1700","1200","","","","","","9","9","9","9","9","9","er","er","er","er","er","","X","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Etait partie lorsque j'ai pris mes fonctions sur château Bernard le 02-02-87.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001_B
id 2038","07/03/86
00:00","11/03/86
00:00","","1600","1350","","","","","","2","4","2","2","2","2","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Avalanche constatée le 17-03 : Déclenchement probable entre le 7 et le 11-03.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001_A
id 2037","07/03/86
00:00","11/03/86
00:00","","1600","1350","","","","","","2","4","2","5","2","2","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Avalanche constatée le 17-03-86.  Déclenchement probable entre le 7 et le 11-03.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001_A
id 2037","18/03/84
00:00","18/03/84
00:00","","1700","1150","","","","","","3","4","2","5","2","5","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°001
id 2036","02/03/81
00:00","02/03/81
00:00","","1650","1120","","","","","","9","9","9","9","9","9","er","er","er","er","er","er","er","er","er","er","er","","","","","","","","","","","X","","","",""
"Remarque : Pluralité des couloirs (4).  Probablement descendue le 20/01/1981.  Dépôts sur la piste forestière de ""Malivert"".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 2036","02/02/78
00:00","02/02/78
00:00","","1700","1050","","","","","","4","9","9","9","9","9",">100","er","er","er","er","X","","","","","","X","","","","X","","","","","","X","","","",""
"Remarque : Vue la pluralité des couloirs au départ, il est mentionné qu'une avalanche.  Envoi différé, difficultés d'observations au point d 'arrivée.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 2036","07/03/70
00:00","07/03/70
00:00","","1700","1150","","","","","","4","4","9","9","9","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 31/03/1970.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 2036","10/01/70
00:00","10/01/70
00:00","","1600","1400","","","","","","1","4","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 2036","25/02/68
00:00","25/02/68
00:00","","1650","1400","","","","","","1","4","9","9","9","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date du constat : 29/02/2068.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 2036","01/09/61
00:00","31/08/62
00:00","","1500","1200","","","","","","4","4","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 2036","21/03/24
00:00","21/03/24
00:00","","1500","1000","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
