"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"Remarque : CLPA N°9, 10, 11, 12.  Les 2 courbes principales à l'arrivée sont descendues.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°011
id 2227","17/03/03
00:00","17/03/03
00:00","2100","830","","","","","","4","4","2","2","2","2","0","","er","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque :  Remarque dépôt:15 * 4 * 800 -> dépôt.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°011
id 2227","04/02/03
00:00","05/02/03
00:00","2150","850","","","400","40","2.0","1","9","1","2","5","5","51-
100","X","er","","","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque :  Remarque dépôt:Dépôt : 400 * 40 * 2.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°011
id 2227","28/02/02
00:00","28/02/02
00:00","","850","","","","","","9","9","9","2","5","5","er","","","X","X","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°011
id 2227","21/02/02
00:00","21/02/02
00:00","","850","","","","","","9","9","1","2","1","1","1-20","","","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°011
id 2227","01/04/00
00:00","30/04/00
00:00","","1200","","","","","","9","9","9","2","2","2","er","","er","","","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Constatée le 20-4-2000.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°011
id 2227","19/02/00
00:00","19/02/00
00:00","","730","","","","","","9","9","9","2","5","5","21-50","","","X","X","X","X","","","","","X","","","","X","","","X","","","","","","",""
"n°011
id 2227","19/12/99
00:00","19/12/99
00:00","","900","","","","","","9","9","9","2","9","9","0","","","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°011
id 2227","12/12/99
00:00","12/12/99
00:00","","1000","","","","","","9","9","9","9","9","9","21-50","","","","X","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Constatée à 14 h.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°011
id 2227","21/04/99
00:00","21/04/99
00:00","2000","930","","","","","","2","4","2","2","2","2","er","er","er","er","er","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°011
id 2227","21/02/99
00:00","21/02/99
00:00","","800","","","","","","9","9","2","2","2","2","er","","","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°011
id 2227","07/02/99
00:00","07/02/99
00:00","","850","","","","","","9","9","9","2","5","5","21-50","","","","","X","","","","X","","X","","","","X","","","X","","","","","","",""
"n°011
id 2227","28/01/99
00:00","28/01/99
00:00","","850","","","","","","9","9","9","2","5","5","51-
100","X","S","","","X","X","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Neige en altitude.  Pluie en vallée.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°011
id 2227","19/01/98
00:00","19/01/98
00:00","","850","","","","","","9","2","2","2","2","2","21-50","","","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°011
id 2227","29/11/96
00:00","30/11/96
00:00","","900","","","","","","9","9","2","2","2","2","51-
100","X","NO","","","X","X","","","","","X","","","","X","","","X","","","","","","",""
"n°011
id 2227","07/03/95
00:00","07/03/95
00:00","2000","700","","","","","","5","1","5","2","5","5","21-50","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
