"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 01/03/2004 :
Site 64204 012 (id 2735) --> site 64204 012 (id 7323)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°012
id 7323","30/03/16
18:00","31/03/16
08:00","","2150","1650","","","600","75","2.5","8","4","2","2","2","2","1-20","?","","X","?","?","?","?","X","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 01/04/2016.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Très gros dépôt notamment sur les pistes de ski. Cassure proche du gazex de plus de 4m, énorme plaque.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 7323","23/03/15
00:00","28/03/15
00:00","","?","1730","","","100","40","1.0","9
9","","9","2","9","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","I","N"
"Date du constat : 10/04/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 7323","01/02/15
00:00","01/02/15
00:00","","2300","1520","","","700","60","1.0","8","3","1","2","1","1","51-
100","X","","","","X","","?","","X","","X","","","","","X","","","X","","X","","","B","O"
"Date du constat : 07/02/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque :  Dégâts sur les remontées.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 7323","06/04/14
00:00","06/04/14
00:00","","2100","1650","","X","700","100","3.0","8","4","2","2","2","2","21-50","?","","X","X","?","?","?","X","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 18/04/2014.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 7323","28/02/14
00:00","01/03/14
00:00","","2500","1750","","","500","100","3.0","8","2","1","1","5","1","21-50","?","","?","?","X","?","?","?","?","?","","","X","","X","","","X","","","","","","B","N"
"Date du constat : 08/04/2014.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Tir Gazex couloir nommé Z.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 7323","24/01/14
00:00","25/01/14
00:00","","2230","1650","","X","300","50","2.0","8","9","2","9","9","9","21-50","?","","X","X","X","X","X","?","?","?","","X","","","X","","","X","","","","","","B","N"
"Date du constat : 26/01/2014.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque :  Nombreux départs spontanés sur l'épisode neigeux.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 7323","26/01/13
00:00","27/01/13
00:00","","2000","1600","","","700","80","","8","3","2","5","5","2","21-50","X","NO","X","X","","X","","","X","","X","","","","X","","","X","","","","","","B","O"
"Date du constat : 29/01/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°012
id 7323","11/01/13
00:00","11/01/13
00:00","","2195","1670","","","230","50","1.0","8","4","1","2","5","1","21-50","?","","","","X","","","?","?","?","","","X","","X","","","X","","","","","","B","N"
"Date du constat : 23/03/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
