"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 01/03/2004 :
Site 64320 033 (id 2797) --> site 64320 033 (id 7383)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°033
id 7383","01/04/17
08:00","03/04/17
08:00","","1900","1601","","","50","80","1.0","4","2","2","1","2","2","21-50","?","","X","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 05/04/2017.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°033
id 7383","03/03/17
08:00","08/03/17
08:00","","2000","1601","","","80","60","0.5","4","5","2","1","2","2","0","X","","X","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 08/03/2017.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°033
id 7383","22/02/17
10:00","03/03/17
08:00","","2000","1600","","","50","50","0.5","4","2","2","1","2","2","?","?","","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 03/03/2017.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°033
id 7383","06/04/16
09:00","06/04/16
14:00","","?","1600","","","30","100","1.5","8","4","2","1","2","2","21-50","?","","X","?","?","?","?","X","?","X","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 11/04/2016.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°033
id 7383","10/03/15
00:00","26/03/15
00:00","","?","1600","","","50","45","1.0","9","9","9","1","2","2","1-20","?","","X","X","?","?","?","?","?","?","X","","","","X","","","","","","","X","","I","O"
"Date du constat : 26/03/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque :  Fosses entièrement remplies, débordement de l'avalanche sur la Route départementale 934.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°033
id 7383","11/02/15
00:00","16/02/15
00:00","","1700","1600","","","15","100","1.5","4","2","2","1","2","2","1-20","","","X","","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 16/02/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°033
id 7383","30/01/15
00:00","09/02/15
00:00","","?","1600","","","20","200","1.5","9","9","9","2","9","1","51-
100","X","","","","?","?","?","?","?","?","X","","","","X","","","X","","","","","","I","N"
"Date du constat : 09/02/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°033
id 7383","03/04/14
00:00","08/04/14
00:00","","1950","1588","","","40","80","1.0","8","4","2","1","2","2","1-20","?","","X","X","?","?","?","?","?","?","X","","","","X","","","","","","X","X","","B","O"
"Date du constat : 09/04/2014.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque :  Une bonne partie d'humus et d'arbustes arrachée decouvrant des roches désormais lisses.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°033
id 7383","30/03/14
00:00","30/03/14
00:00","","1910","1580","","","50","100","2.5","8","4","2","1","2","2","21-50","?","","X","X","?","X","?","?","?","?","X","","","","X","","","","","","X","X","","B","O"
"Date du constat : 02/04/2014.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
