"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"Date du constat : 24/01/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°211
id 7058","15/01/13
00:00","15/01/13
00:00","?","1780","","X","","","","9","9","9","5","5","1","51-
100","","","?","?","?","?","?","?","?","?","","","","X","X","","","","","","","X","","BS","O"
"Date du constat : 18/01/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Départ gazex probable","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°211
id 7058","11/03/11
13/03/11
00:00
00:00","","?","1770","","X","10","5","0.800
0000
12","8","2","9","5","2","2","0","X","SO","","","X","X","?","?","?","?","X","","","","X","","","","","","","X","","B","O"
"Date du constat : 14/03/2011.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Coulée qui à traversé la route en se joignant à l'EPA 212","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°211
id 7058","22/02/11
00:00","22/02/11
00:00","?","1780","","","20","4","0.800
0000
12","9","9","9","5","2","2","51-
100","?","","X","X","X","X","?","?","?","?","","","X","","X","","","","","","","X","","BS","O"
"Date du constat : 24/02/2011.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : decl gazex route coupée par la coulée","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°211
id 7058","22/02/11
00:00","22/02/11
00:00","?","1780","","","20","4","0.800
0000
12","9","9","9","5","2","2","51-
100","?","","X","X","X","X","?","?","?","?","","","","X","X","","","","","","","X","","BS","O"
"Date du constat : 24/02/2011.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : arrêt sur route decl gazex possible","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°211
id 7058","05/12/10
00:00","06/12/10
00:00","?","1780","","","50","5","0.800
0000
12","9","9","9","2","5","2","1-20","?","","X","","?","?","X","?","?","?","X","","","","X","","","","","","","X","","BS","O"
"Date du constat : 06/12/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : arrêt coulée sur talus route","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°211
id 7058","16/01/10
00:00","22/01/10
00:00","?","1760","","X","35","10","1.5","9","9","9","5","2","2","?","?","","?","?","?","?","?","?","?","?","","","X","","X","","","","","","","X","","B","O"
"Date du constat : 22/01/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : A traversé la route. Déclenchement GAZEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°211
id 7058","13/03/09
00:00","16/03/09
00:00","?","1800","","","50","20","1.0","9","9","9","5","2","2","0","","","","X","","","","X","X","","","","","X","X","","","X","","","","","","B","N"
"Date du constat : 16/03/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°211
id 7058","09/02/09
00:00","09/02/09
00:00","2100","1810","","","20","10","0.5","9","2","1","5","2","1","21-50","","","","","?","?","?","?","?","?","","","","X","X","","","X","","","","","","B","N"
"Date du constat : 09/02/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
