"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 10/02/2004 :
Site 65388 013 (id 3033) --> site 65388 013 (id 7025)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°013
id 7025","16/01/17
08:00","17/01/17
17:00","","1600","1500","","","100","30","","4","4","2","2","2","2",">100","?","","X","?","?","?","?","X","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 18/01/2017.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°013
id 7025","18/03/16
14:00","18/03/16
16:00","","1600","1500","","","80","20","1.0","4","4","2","2","2","2","21-50","?","","?","X","?","?","?","?","X","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 18/03/2016.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Ce couloir EPA St Lary Soulan 13 est normalement attribué a J BURET mais l'obs a été faite par S ALRIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°013
id 7025","08/03/16
10:00","08/03/16
15:00","","1700","1450","","","","","","8","4","9","1","2","9","21-50","?","","?","?","","","","","X","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 08/03/2016.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Impossible évaluer dépôt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°013
id 7025","07/03/16
10:00","08/03/16
10:00","","1700","1450","","","","","","8","4","9","1","2","9","21-50","?","","?","?","?","?","?","?","?","?","X","","","","X","","","","","","","","","B","N"
"Date du constat : 08/03/2016.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Impossible évaluer dépôt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°013
id 7025","03/03/15
00:00","03/03/15
00:00","","1650","1500","","","200","100","","4","4","2","1","2","2","0","?","","?","?","?","?","?","X","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 03/03/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°013
id 7025","09/02/15
00:00","10/02/15
00:00","","1600","1500","","","100","80","","4","4","2","2","2","2","0","?","","X","?","?","?","?","X","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 10/02/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°013
id 7025","01/02/15
00:00","01/02/15
00:00","","1700","1300","","","500","50","3.0","4","4","2","2","2","2",">100","?","","X","?","?","?","?","X","?","?","X","","","","X","","","","","","","X","","B","O"
"Date du constat : 10/02/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Avalanche ayant franchie la Départementale .Le village de Soulan a été dégagé le lundi matin.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°013
id 7025","06/03/14
00:00","06/03/14
00:00","","1600","1400","","X","150","20","","4","4","2","1","2","2","51-
100","?","","X","X","?","?","?","X","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 10/03/2014.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
