"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°003
id 7912","07/04/13
00:00","08/04/13
00:00","2450","1560","","","110","20","1.5","8","3","2","2","1","2","0","","","","","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 08/04/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : rupture de la d'une partie du manteau. Neige mouillée et dense.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 7912","15/04/12
00:00","16/04/12
00:00","2300","1580","","","100","15","2.0","9","2","1","2","5","1","21-50","X","N","","","X","","X","","X","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 17/04/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Purge naturelle de l'ensemble du couloir et des branches suite à l'épisode neigeux-venteux du 15 et 16 avril 2012. Le 16 le dépot est visible mais l'ensemble du couloir est sans
visibilité. Observation le lendemain avec bonne visibilité.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 7912","23/03/12
00:00","23/03/12
00:00","2300","1580","","","100","20","5.0","8","4","2","2","5","2","51-
100","","","","","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 23/03/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : visite des couloirs suite aux récentes chutes de neige, lors du retour l'évènement a eu lieu entre 8h et 10h le matin.
C'est la branche gauche orographique qui est partie et a dépassé l'évènement d'hier sans toutefois dépassé le seuil d'alerte.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 7912","21/03/12
00:00","22/03/12
00:00","2300","1600","","","80","10","4.0","8","2","2","2","5","2","51-
100","","","","","X","","","","X","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 23/03/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Avalanche de couloir, surcharge de neige récente trés lourde sans developpement aérien.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 7912","06/02/12
00:00","07/02/12
00:00","2400","1600","","X","50","10","0.5","9","2","1","2","1","1","51-
100","X","NO","","","","","X","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 08/02/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Rupture de corniche à l'origine de l'évènement. Le témoin a bien vu l'aérosol. C'est la deuxième branche en partant du bas, gauche orographique qui a fonctionnée.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 7912","17/03/11
00:00","17/03/11
00:00","2200","1600","","X","100","30","2.0","8","4","2","2","2","2","51-
100","","","X","X","","","","X","","","X","","","X","","","","X","","","","","","B","N"
"Date du constat : 18/03/2011.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : 2 départs simultanés. Branche droite et branche gauche supérieures. Neige lourde et sale à l'arrivée.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 7912","08/03/10
00:00","09/03/10
00:00","2450","1600","","X","80","50","2.0","8","2","1","2","2","1","51-
100","X","NO","","","","","X","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 10/03/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Rupture de plaque à vent de neige récente sur 100 mètres environ.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 7912","11/02/10
00:00","12/02/10
00:00","2400","1650","","","50","10","2.0","8","2","1","2","2","1","21-50","X","NO","","","X","","X","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 12/02/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : La zone de départ a été recouverte, en partie, par de la neige fraîche dans la nuit. Surcharge ponctuelle de neige fraîche. L'avalanche s'est arrêtée à mi-cône de déjection.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
