"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"Remarque : Avalanche de fond. Remarque dépôt:Largeur 100 m au départ puis écoulement de 3 à 400 m de longueur dans un couloir.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 3440","18/12/02
00:00","18/12/02
00:00","2200","1900","","","","","","2","4","2","1","2","5","21-50","","er","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Avalanche coulante due au redoux.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 3440","04/02/01
00:00","04/02/01
00:00","2400","2000","","","","","","2","2","1","2","2","1","21-50","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°002
id 3440","05/03/00
00:00","05/03/00
00:00","2000","1600","","","","","","5","4","5","2","2","5","51-
100","X","er","","","X","","X","","","","X","","","","X","","","X","","","","","","",""
"n°002
id 3440","04/01/00
00:00","04/01/00
00:00","2000","1700","","","","","","5","4","5","1","2","5","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°002
id 3440","06/02/99
00:00","09/02/99
00:00","2200","1600","","","","","","4","2","1","1","1","1",">100","X","N","","","X","","X","","","","X","","","","X","","","X","","","","","","",""
"n°002
id 3440","01/02/98
00:00","10/02/98
00:00","2200","1750","","","","","","2","4","2","2","2","5","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°002
id 3440","17/12/96
00:00","17/12/96
00:00","2400","1600","","","","","","2","4","2","5","2","2","21-50","","","X","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°002
id 3440","02/12/96
00:00","06/12/96
00:00","2200","1750","","","","","","2","4","2","2","2","2",">100","","","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°002
id 3440","25/02/95
00:00","26/02/95
00:00","2400","1900","","","","","","2","4","5","1","2","2","51-
100","X","er","X","X","X","X","X","","","X","X","","","","X","","","X","","","","","","",""
"n°002
id 3440","05/03/94
00:00","05/03/94
00:00","1900","1550","","","","","","2","4","2","1","2","2","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°002
id 3440","08/01/94
00:00","08/01/94
00:00","1900","1700","","","","","","2","4","2","1","2","2","51-
100","","","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°002
id 3440","15/11/92
00:00","20/11/92
00:00","2000","1650","","","","","","2","4","2","1","2","2","21-50","","","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°002
id 3440","22/12/90
00:00","09/01/91
00:00","1900","1530","","","","","","2","4","2","1","2","2","51-
100","","","","","","X","","","","","X","","","","X","","","","","","","X","","",""
"n°002
id 3440","01/01/55
00:00","31/01/55
00:00","2400","1500","","","","","","9","1","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 3440","16/02/52
00:00","16/02/52
00:00","1950","1400","","","","","","9","9","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 3440","25/03/51
00:00","25/03/51
00:00","1900","1400","","","","","","9","1","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°002
id 3440","10/03/46
00:00","10/03/46
00:00","2000","1500","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
