"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 26/04/2005 :
Site 73060 014 (id 3474) --> site 73060 014 (id 9795)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°014
id 3474","20/02/99
00:00","20/02/99
00:00","","1450","1250","","","","","","4","2","2","2","2","2","21-50","","","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°014
id 3474","30/11/96
00:00","30/11/96
00:00","","1600","1235","","","","","","4","2","2","2","2","2","21-50","","","","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°014
id 3474","02/04/95
00:00","02/04/95
00:00","","1600","1235","","","","","","4","3","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°014
id 3474","13/02/95
00:00","13/02/95
00:00","","1600","1200","","","","","","4","3","2","2","2","2","1-20","","","X","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°014
id 3474","22/01/95
00:00","22/01/95
00:00","","1600","1230","","","","","","4","2","2","2","2","2","21-50","","","","","X","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°014
id 3474","11/01/95
00:00","11/01/95
00:00","","1600","1200","","","","","","4","2","1","2","2","1","51-
100","","","","","X","","","","","","","","X","","X","","","X","","","","","","",""
"n°014
id 3474","11/01/95
00:00","11/01/95
00:00","","1600","1220","","","","","","4","2","1","2","2","1","51-
100","","","","","X","","","","X","","X","","","","X","","","X","","","","","","",""
"n°014
id 3474","14/02/90
00:00","14/02/90
00:00","","1500","1150","","","","","","2","2","2","2","2","2","51-
100","X","O","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°014
id 3474","19/03/88
00:00","19/03/88
00:00","","1700","1150","","","","","","2","2","2","2","2","2","1-20","X","SO","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : CD94 intercepté.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°014
id 3474","18/03/88
00:00","18/03/88
00:00","","1500","1200","","","","","","2","2","2","2","2","2","21-50","X","SO","X","X","X","X","","","","X","X","","","","X","","","X","","","","","","",""
"n°014
id 3474","27/02/86
00:00","27/02/86
00:00","","1500","1200","","","","","","2","3","2","2","2","2","0","X","O","X","X","","","","","","X","X","","","","X","","","X","","","","","","",""
"n°014
id 3474","08/02/84
00:00","08/02/84
00:00","","1500","1100","","","","","","5","2","5","2","5","5","51-
100","X","NO","","","X","","X","","","","X","","","","X","","","","","","","X","","",""
"Remarque : CD94 intercepté.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°014
id 3474","25/01/84
00:00","25/01/84
00:00","","1700","1100","","","","","","4","2","1","2","1","1","51-
100","X","O","","","X","","","","X","","X","","","","X","","","","","","","X","","",""
"Remarque : CD94 intercepté.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
