"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 25/04/2005 :
Site 73063 003 (id 3480) --> site 73063 003 (id 9739)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°003
id 9739","15/04/13
00:00","15/04/13
00:00","","2150","1060","","X","100","35","3.0","8","4","2","5","2","2","0","","","X","","","","","X","","","X","","","","X","","","","","","X","X","","B","N"
"Date du constat : 18/04/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : La route sylvo pastorale du Charvet a été obstruée par l'avalanche; nombreux morceaux de bois dans le dépot.
AM du maire de CEVINS interdisant la circulation des voitures et piétons jusqu'à sécurisation et ré-ouverture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 9739","28/02/06
00:00","04/03/06
00:00","","2050","1050","","","200","20","2.0","8","4","2","2","2","2","51-
100","X","E","X","","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 07/04/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Dépôt avec beaucoup de boules.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 3480","09/03/81
00:00","09/03/81
00:00","","","","","","","","","9","9","9","9","9","9","0","","","X","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°003
id 3480","09/03/81
00:00","09/03/81
00:00","","1900","900","","","","","","9","9","9","9","9","2","0","","","X","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°003
id 3480","20/01/81
00:00","20/01/81
00:00","","1900","900","","","","","","4","9","9","9","9","9","51-
100","er","er","er","er","X","","","","","","X","","","","","","","","","","X","X","","",""
"n°003
id 3480","07/02/80
00:00","07/02/80
00:00","","","","","","","","","9","9","9","9","9","9","er","","","X","","","","","X","","","X","","","","X","","","","","","","X","","",""
"n°003
id 3480","24/01/80
00:00","26/01/80
00:00","","1900","1000","","","","","","9","4","9","9","9","9","er","","","","X","","","","","X","","X","","","","X","","","","","","","X","","",""
"n°003
id 3480","10/04/79
00:00","10/04/79
00:00","","1900","","","","","","","9","4","9","9","9","9","er","","","","X","","","","X","","","X","","","","X","","","","","","","X","","",""
"Remarque : Route forestière coupée.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 3480","12/02/79
00:00","12/02/79
00:00","","1900","1000","","","","","","9","9","2","9","9","9","er","","","X","","","X","","","","","X","","","","X","","","","","","","X","","",""
"Remarque : Route forestière du Charvet coupée.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°003
id 3480","02/02/78
00:00","02/02/78
00:00","","1900","1150","","","","","","4","9","9","9","9","9",">100","er","er","er","er","X","","","","","","X","","","","X","","","","","","X","X","","",""
"n°003
id 3480","28/10/74
00:00","28/10/74
00:00","","2050","1100","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
