"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 03/02/2003 :
Site 73086 005 (id 3538) --> site 73086 005 (id 9112)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°005
id 9112","22/01/05
00:00","24/01/05
00:00","","1600","1300","","","","","","8","5","1","2","2","2","51-
100","","","","","X","X","","","","","X","","","","X","","","X","","","","","","I","N"
"Date du constat : 25/01/2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Coulées répétitives 22-23. Altitudes max. Dépôt non visible.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 3538","14/03/02
00:00","14/03/02
00:00","","1600","1250","","","","","","9","9","9","9","9","9","51-
100","","","","","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°005
id 3538","07/03/02
00:00","07/03/02
00:00","","1600","1250","","","","","","9","9","9","9","9","9","51-
100","","","","","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°005
id 3538","06/03/02
00:00","06/03/02
00:00","","1600","1250","","","","","","9","9","9","9","9","9","51-
100","","","","","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°005
id 3538","28/02/02
00:00","28/02/02
00:00","","1600","1250","","","","","","9","9","9","9","9","9","51-
100","","","","","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°005
id 3538","27/02/02
00:00","27/02/02
00:00","","1600","1250","","","","","","9","9","9","9","9","9","51-
100","","","","","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°005
id 3538","01/02/99
00:00","31/03/99
00:00","","1600","1300","","","","","","9","9","9","9","9","9",">100","","","","","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Site à ""coulées répétitives"". Une quinzaine de coulées en 2 mois.  Météo et caractéristiques de l'avalanche variables.  Fort enneigement.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 3538","13/04/94
00:00","15/04/94
00:00","","1600","1300","","","","","","2","2","5","2","2","5","51-
100","","","X","X","","","","","X","X","","","","","X","","","X","","","","","","",""
"n°005
id 3538","06/03/89
00:00","06/03/89
00:00","","1400","1050","","","","","","2","4","2","2","2","2","0","","","","X","","","","X","","X","","","","","X","","","X","","","","","","",""
"n°005
id 3538","29/03/88
00:00","29/03/88
00:00","","1660","1100","","","","","","5","4","5","2","2","2","1-20","X","O","X","X","","X","X","","X","X
X","","","","","X","","","X","","","","","","",""
"n°005
id 3538","08/03/81
00:00","08/03/81
00:00","","1500","800","","","","","","4","4","2","5","2","2","er","","","","X","","X","","","","X
X","","","","","X","","","X","","","","","","",""
"n°005
id 3538","10/04/79
00:00","10/04/79
00:00","","1500","900","","","","","","4","4","2","2","2","2","er","","","","X","","","","X","","X","","","","","X","","","X","","","","","","",""
"Remarque : Chaud, tendance orageuse.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°005
id 3538","02/02/78
00:00","02/02/78
00:00","","1500","900","","","","","","5","5","1","5","1","1",">100","er","er","er","er","X","","","","","X","X","","","","X","","","er","er","er","er","er","er","",""
