"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 11/08/2003 :
Site 73143 006 (id 3736) --> site 73143 006 (id 6583)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°006
id 6583","05/01/12
00:00","06/01/12
00:00","","2300","1480","","","70","20","2.0","9","2","2","2","1","1","21-50","X","O","?","?","X","X","X","?","X","?","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 07/01/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : route du hameau des champs fermée par les services techniques de la commune de lanslebourg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 6583","31/12/11
00:00","31/12/11
00:00","","2300","1550","","","75","50","2.0","9","2","2","2","1","1","1-20","X","O","?","?","X","X","?","?","X","X","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 07/01/2012.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : route du hameau des chmps fermée par les services techniques de la commune de lanslebourg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 6583","16/12/11
00:00","16/12/11
00:00","","?","1425","","","200","30","6.0","9","2","2","2","5","1","51-
100","X","O","?","?","X","X","?","?","X","?","X","","","","X","","","","","","","X","X","I","O"
"Date du constat : 19/12/2011.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : la route du hameau des champs a été fermée par la mairie vendredi matin, l'avalanche est descendue vendredi soir à 18 heures après une journée de redoux. Elle a barré la route
et atteint l'arc.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 6583","15/12/08
00:00","15/12/08
00:00","","?","1425","","","500","10","3.0","9","2","2","2","2","1","51-
100","X","E","","","X","","","","","","X","","","","X","","","X","","","","","","I","O"
"Date du constat : 16/12/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Arrivée bord de la route des champs, fermée depuis la veille. ALTITUDE DEPART: non visible.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 6583","04/03/06
00:00","05/03/06
00:00","","?","1425","","","500","10","4.0","9","4","2","2","2","2","21-50","","","","","X","X","X","","X","X","X","","","","X","","","X","","","","","","BS","O"
"Date du constat : 06/03/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : La photo dite du n°6, ne correspond pas du tout. C'est la photo n°20 qui correspond au site de Praz Mariaz. Arrivée à 5m de la route des champs, fermée depuis samedi 4 vers
16h.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 6583","14/01/04
00:00","14/01/04
00:00","","2300","1550","X","X","","","","4","4","2","2","2","2","51-
100","X","O","X","X","","","","","X","","X","","","","X","","","X","","","","","","er","er"
"Remarque : CLPA N°12.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 3736","04/01/03
00:00","04/01/03
00:00","","2800","1800","","","","","","2","4","5","2","5","5","1-20","","er","X","X","X","","X","","","X","X","","","","X","","","X","","","","","","",""
"n°006
id 3736","22/02/99
00:00","22/02/99
00:00","","2100","1550","","","","","","5","5","5","2","2","2","1-20","X","NO","X","X","X","","X","","X","","X","","","","X","","","X","","","","","","",""
