"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°008
id 5918","16/12/11
00:00","19/12/11
00:00","2150","1720","","","60","4","1.0","4","2","1","5","1","1","51-
100","X","O","","","X","","X","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 19/12/2011.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°008
id 5918","27/02/10
00:00","27/02/10
00:00","2030","1720","","X","60","10","1.0","4","4","2","2","2","2","?","X","S","X","","X","X","","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 01/03/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°008
id 5918","28/02/09
00:00","28/02/09
00:00","2050","1730","","","250","6","2.0","4","4","1","5","2","1","0","","","","X","","","","X","","","X","","","","X","","","","","","X","","","B","N"
"Date du constat : 02/03/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Avaanche due à une journée très chaude. Terre et mottes 'herbes mélangées à la neige du culot.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°008
id 5918","23/01/09
00:00","26/01/09
00:00","2150","1710","","","80","3","1.0","4","4","1","5","2","1","51-
100","","","","","X","","","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 26/01/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : 3° observation sur ce site pour l'hiver.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°008
id 5918","25/12/08
00:00","29/12/08
00:00","1940","1730","","","20","30","1.0","8","4","1","2","2","1","51-
100","X","S","","","","","X","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 29/12/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°008
id 5918","15/12/08
00:00","15/12/08
00:00","?","?","","","","","","9","2","1","1","1","1",">100","","","","","X","","","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 19/12/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Pas de visibilité.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°008
id 5918","20/01/08
00:00","20/01/08
00:00","1950","1720","","X","20","4","1.0","4","4","1","2","2","1","0","","","","X","","","","X","","","X","","","","X","","","","","","X","","","B","N"
"Date du constat : 21/01/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°008
id 5918","02/03/07
00:00","03/03/07
00:00","2150","1750","","X","30","2","1.0","9","1","2","2","2","2","21-50","","","X","","X","X","","","","","X","","","","X","","","X","","","","","","BS","N"
"Date du constat : 05/03/2007.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°008
id 5918","11/05/06
00:00","11/05/06
00:00","1950","1700","","X","80","6","2.0","4","4","2","5","2","2","21-50","","","","","X","","","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 11/05/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Chute de neige 50cm au village.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°008
id 5918","08/03/06
00:00","09/03/06
00:00","2100","1740","","X","100","5","2.0","8","2","2","2","2","2","21-50","X","NO","","X","","X","X","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 09/03/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
